source_path,source_group,pdf_pages,sha256,manifest_records,manifest_pages,ocr_draft_records,ocr_draft_pages,ocr_draft_paths,indexed_documents,indexed_pages,status,record_ids,indexed_titles
data/domestic/press_scans/NLC1080-00N001037-7606_大剛報_1947年11月06日.pdf,press_scans,4,9b4c22a6e905c40f0efef1ce24aa6f1f447b4eb64a1137513a5f6b6532f83284,3,6,1,4,work/domestic/ocr_collection_phase4/NLC1080-00N001037-7606_大剛報_1947年11月06日.ocr.md,3,6,formal_page_count_anomaly,COLLECTION:P3-N1080-7606:ocr-draft-20260727；LOCALFULL:P3-N1080-7606；NLC:dagangbao-1947-11-06-full-ocr,NLC1080-00N001037-7606_大剛報_1947年11月06日；NLC1080-00N001037-7606_大剛報_1947年11月06日.pdf · OCR检索草稿；《大剛報》1947年11月6日全版扫描（OCR试点）；《大剛報》1947年11月6日全版扫描（OCR试点）；《大剛報》1947年11月6日全版扫描（OCR试点）；《大剛報》1947年11月6日全版扫描（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85442_民憲_第一卷第一期.pdf,press_scans,47,528aa1c147c3ef5ae7af19790cc61b7fe3b261fd3f4afed0cb75b7e58dacbdad,4,6,1,47,work/domestic/ocr_collection_phase4/NLC404-00J001436-85442_民憲_第一卷第一期.ocr.md,4,6,draft_ready_formal_gap,COLLECTION:P3-85442:ocr-draft-20260727；LOCALFULL:P3-85442；NLC:minxian-1944-v1n1-contents-ocr；NLC:minxian-1944-v1n1-preface-effort-and-thought-ocr,NLC404-00J001436-85442_民憲_第一卷第一期；NLC404-00J001436-85442_民憲_第一卷第一期.pdf · OCR检索草稿；《民憲》第一卷第一期目录页（OCR试点）；《民憲》第一卷第一期〈努力與思索〉（代發刊詞）正文试点；《民憲》第一卷第一期〈努力與思索〉（代發刊詞）正文试点；《民憲》第一卷第一期〈努力與思索〉（代發刊詞）正文试点
data/domestic/press_scans/NLC404-00J001436-85443_民憲_第一卷第二期.pdf,press_scans,47,43c91c806af550c60d321793a81cc18bc7866774057f318e364915c70f543118,3,3,1,47,work/domestic/ocr_collection_phase4/NLC404-00J001436-85443_民憲_第一卷第二期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-85443:ocr-draft-20260727；LOCALFULL:P3-85443；NLC:minxian-1944-v1n2-contents-ocr,NLC404-00J001436-85443_民憲_第一卷第二期；NLC404-00J001436-85443_民憲_第一卷第二期.pdf · OCR检索草稿；《民憲》第一卷第二期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85444_民憲_第一卷第三期.pdf,press_scans,41,c21e3e8464473cf68cafdda3e65d69e32fb2bce986f88aa9593479150c612618,3,3,1,41,work/domestic/ocr_collection_phase4/NLC404-00J001436-85444_民憲_第一卷第三期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-85444:ocr-draft-20260727；LOCALFULL:P3-85444；NLC:minxian-1944-v1n3-contents-ocr,NLC404-00J001436-85444_民憲_第一卷第三期；NLC404-00J001436-85444_民憲_第一卷第三期.pdf · OCR检索草稿；《民憲》第一卷第三期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85445_民憲_第一卷第四期.pdf,press_scans,47,c88a363f01432f1494adcde3f44c736414deeed2d528fbf550b37a5881f7f730,3,3,1,47,work/domestic/ocr_collection_phase4/NLC404-00J001436-85445_民憲_第一卷第四期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-007:ocr-draft-20260727；LOCALFULL:P3-007；NLC:minxian-1944-v1n4-contents-ocr,NLC404-00J001436-85445_民憲_第一卷第四期；NLC404-00J001436-85445_民憲_第一卷第四期.pdf · OCR检索草稿；《民憲》第一卷第四期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85446_民憲_第一卷第五期.pdf,press_scans,53,25d339490905fc06832f4ddbaf7a367d761ef06e0b40f8439c6c1a8c8d6fd69a,3,3,1,53,work/domestic/ocr_collection_phase4/NLC404-00J001436-85446_民憲_第一卷第五期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-85446:ocr-draft-20260727；LOCALFULL:P3-85446；NLC:minxian-1944-v1n5-contents-ocr,NLC404-00J001436-85446_民憲_第一卷第五期；NLC404-00J001436-85446_民憲_第一卷第五期.pdf · OCR检索草稿；《民憲》第一卷第五期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85447_民憲_第一卷第六期.pdf,press_scans,51,680b592ba16a2826f23b46a382ca261f4183523293f82d568f6e6c5b5b6e503c,4,7,1,51,work/domestic/ocr_collection_phase4/NLC404-00J001436-85447_民憲_第一卷第六期.ocr.md,4,7,draft_ready_formal_gap,COLLECTION:P3-85447:ocr-draft-20260727；LOCALFULL:P3-85447；NLC:minxian-1944-v1n6-contents-ocr；NLC:minxian-1944-v1n6-democracy-philosophy-upper-ocr,NLC404-00J001436-85447_民憲_第一卷第六期；NLC404-00J001436-85447_民憲_第一卷第六期.pdf · OCR检索草稿；《民憲》第一卷第六期目录页（OCR试点）；《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点；《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点；《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点；《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点
data/domestic/press_scans/NLC404-00J001436-85448_民憲_第一卷第七期.pdf,press_scans,51,a1e2269150fea87cfcca1e2016662ecc953f9a9b2a151184aad62fad776f09e0,3,3,1,51,work/domestic/ocr_collection_phase4/NLC404-00J001436-85448_民憲_第一卷第七期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-85448:ocr-draft-20260727；LOCALFULL:P3-85448；NLC:minxian-1944-v1n7-contents-ocr,NLC404-00J001436-85448_民憲_第一卷第七期；NLC404-00J001436-85448_民憲_第一卷第七期.pdf · OCR检索草稿；《民憲》第一卷第七期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85449_民憲_第一卷第八期.pdf,press_scans,55,867fcca3821c8cc3deb67ba1aae6a76e62f192c0c849805fa2fda4cc9835aa19,3,3,1,55,work/domestic/ocr_collection_phase4/NLC404-00J001436-85449_民憲_第一卷第八期.ocr.md,3,3,draft_ready_formal_gap,COLLECTION:P3-003:ocr-draft-20260727；LOCALFULL:P3-003；NLC:minxian-1944-v1n8-contents-ocr,NLC404-00J001436-85449_民憲_第一卷第八期；NLC404-00J001436-85449_民憲_第一卷第八期.pdf · OCR检索草稿；《民憲》第一卷第八期目录页（OCR试点）
data/domestic/press_scans/NLC404-00J001436-85450_民憲_第一卷第九期.pdf,press_scans,51,b6e123c4d90e4b2b596a61e70758f3d0be22cbfbf63ee6ac7853f682de62d5df,3,7,1,51,work/domestic/ocr_collection_phase4/NLC404-00J001436-85450_民憲_第一卷第九期.ocr.md,3,7,draft_ready_formal_gap,COLLECTION:P3-85450:ocr-draft-20260727；LOCALFULL:P3-85450；NLC:minxian-1944-v1n9-democracy-vs-nondemocracy-article-ocr,NLC404-00J001436-85450_民憲_第一卷第九期；NLC404-00J001436-85450_民憲_第一卷第九期.pdf · OCR检索草稿；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）；《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）
