_priority,_year,典藏號,題名,全宗名稱,全宗系列,本件日期,密等/解密紀錄,提供方式/地點,_matched_queries,_reason,_collection,_identifier
A,1946,002-090300-00146-176,杜聿明電蔣中正白崇禧等璽部之一部在寬甸擊潰匪民主同盟第一軍第四軍分區及韓匪共約五千餘人刻掃蕩附近殘匪加強工事中等情,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,1946/11/04 ~ 1946/11/04,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,數位檔／線上閱覽,民主同盟,題名直接命中「民主同盟」+ 核心時段 1946 + 國家核心全宗,002000002400A,002-090300-00146-176
A,1946,002-090300-00148-030,顧祝同電蔣中正蘇中魯南共軍動態偽第三師鐘劍魂部改編為民主同盟第一軍由淮安方面竄抵儀徵六合間橫桿店等地又共軍張愛萍部四萬七千餘積極活動企圖不明等情,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,1946/01/22 ~ 1946/01/22,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,數位檔／線上閱覽,民主同盟,題名直接命中「民主同盟」+ 核心時段 1946 + 國家核心全宗,002000002402A,002-090300-00148-030
A,1947,002-090300-00162-007,杜聿明電蔣中正陳誠匪將我軍被俘官兵二千餘由佳木斯運至巴彥西北興隆鎮編為民主同盟第一軍軍長為潘朔端刻正積極訓練中另匪田松部隊竄回秀水甸子附近等,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,1947/03/05 ~ 1947/03/05,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,數位檔／線上閱覽,民主同盟,題名直接命中「民主同盟」+ 核心時段 1947 + 國家核心全宗,002000002416A,002-090300-00162-007
A,1947,002-090300-00168-057,杜聿明鄭洞國電蔣中正白崇禧等匪近於哈市南崗成立獨立三個師歸民主聯軍總司令部直轄正訓練中又哈市道外有匪民主同盟三個團約三千餘另有匪民聯二千餘等,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,1947/08/15 ~ 1947/08/15,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,數位檔／線上閱覽,民主同盟,題名直接命中「民主同盟」+ 核心時段 1947 + 國家核心全宗,002000002422A,002-090300-00168-057
A,1949,002-090300-00199-149,毛人鳳電蔣中正據報匪軍占據關中後將由陽平關暨鄂西等地分股入四川現四川境內哥老會幫在民主同盟分子拉拔下已在甘陝川邊區控制民團幫徒反對胡宗南部入川,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,1949/05/31 ~ 1949/05/31,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,數位檔／線上閱覽,民主同盟,題名直接命中「民主同盟」+ 核心時段 1949 + 國家核心全宗,002000002453A,002-090300-00199-149
C,1953,002-110703-00129-001,共匪偽政權之人民民主專政、人民政協、俄化大陸三年計劃、親蘇反美、韓戰參戰、抗美援朝運動、土改運動、財政經濟、文化教育思想改造、黨務活動整風運動、屠殺奴役管制等情,蔣中正總統文物,蔣中正總統文物/ 其他 / 綜合 / 軍事情報及演習,1953/10/00 ~ 1953/10/00,普通 / 法務部調查局民國106年2月3日調總伍字第10624502950號函註銷密等,數位檔／線上閱覽,民主同盟; 沈鈞儒,時段錯位（1953），超出本平台 1941-1950 範圍,002000003138A,002-110703-00129-001
A,1946,002-110400-00001-003,蔣中正函張羣謂潘文華來晤諸事洽妥民主同盟最近之態度似已與共產黨沆瀣一氣請與李璜就近商談如彼青年黨果與共黨取一致行動則政府將毫不容情等,蔣中正總統文物,蔣中正總統文物/ 其他 / 張羣先生文卷 /,1946/01/19 ~ 1946/01/19,普通,數位檔／線上閱覽,民主同盟,題名直接命中「民主同盟」+ 核心時段 1946 + 國家核心全宗,002000003188A,002-110400-00001-003
B,1946,002-150101-00035-238,蔣中正日記原本民國35年06月22日與06月16日至22日上星期反省錄間夾件,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,1946/00/00 ~ 1946/00/00,普通,數位檔／線上閱覽,民主同盟; 羅隆基,人物擦邊（ 羅隆基），核心時段，需現場確認與民盟史關聯,002000003437A,002-150101-00035-238
C,1946,002-150101-00035-285,蔣中正日記原本民國35年07月26日,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,1946/07/26 ~ 1946/07/26,普通,數位檔／線上閱覽,民主同盟,無民盟直接命中，剔除,002000003437A,002-150101-00035-285
C,1946,002-150101-00035-494,蔣中正日記原本民國35年12月27日,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,1946/12/27 ~ 1946/12/27,普通,數位檔／線上閱覽,民主同盟,無民盟直接命中，剔除,002000003437A,002-150101-00035-494
C,1946,002-150101-00035-498,蔣中正日記原本民國35年12月29日,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,1946/12/29 ~ 1946/12/29,普通,數位檔／線上閱覽,民主同盟,無民盟直接命中，剔除,002000003437A,002-150101-00035-498
C,1947,002-150101-00037-030,蔣中正日記原本民國36年01月20日,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,1947/01/20 ~ 1947/01/20,普通,數位檔／線上閱覽,民主同盟,無民盟直接命中，剔除,002000003439A,002-150101-00037-030
C,1948,002-150101-00038-162,蔣中正日記原本民國37年04月18日至24日上星期反省錄,蔣中正總統文物,蔣中正總統文物/ 美國史丹佛大學胡佛研究所移回日記及手令等 / 日記 / 原本,1948/04/18 ~ 1948/04/24,普通,數位檔／線上閱覽,民主同盟,無民盟直接命中，剔除,002000003440A,002-150101-00038-162
C,1968,005-010100-00113-009,陳建中呈蔣經國關於左舜生李璜等六人聯名上書蔣中正要求召開救國會議案奉蔣中正批示以張羣名義函復並摘錄左舜生周鯨文等閱函後之反應檢附原報告影本一份,蔣經國總統文物,蔣經國總統文物/ 文件 / 忠勤檔案 /,1968/04/18 ~ 1968/04/18,普通 / 總統府機要室101年8月1日華總機一字第10110057140號書函註銷密等,數位檔／線上閱覽,民主同盟,時段錯位（1968），超出本平台 1941-1950 範圍,005000000114A,005-010100-00113-009
C,1970,005-010304-00004-009,張羣呈蔣中正為接見象牙海岸國會議長雅賽夫婦一行外交部檢送象牙海岸簡介與象牙海岸重要參考資料,蔣經國總統文物,蔣經國總統文物/ 文件 / 接待賓客 / 談話資料,1970/05/03 ~ 1970/05/03,普通 / 總統府秘書長106年3月27日華總機一字第10610016181號函註銷密等,數位檔／線上閱覽,民主同盟,時段錯位（1970），超出本平台 1941-1950 範圍,005000000465A,005-010304-00004-009
C,1964,006-010606-00004-005,行政院長嚴家淦函復中華民國駐智利大使湯武所附智利在自由世界之地位一文分析週詳具見用心,嚴家淦總統文物,嚴家淦總統文物/ 文件 / 行政院長時期（1963-12至1972-06） / 函電,1964/06/19 ~ 1964/06/19,普通,數位檔／線上閱覽,民主同盟,時段錯位（1964），超出本平台 1941-1950 範圍,006000000114A,006-010606-00004-005
C,1992,007-070603-00003-001,朱諶於中國國民黨中央考核紀律委員會黨務專案研究報告法國共和聯盟、法蘭西民主同盟及其聯合陣線內部運作研究,李登輝總統文物,李登輝總統文物/ 李登輝基金會捐贈檔案史料 / 總統府檔案資料夾文件 / 外交,1992/03/12 ~ 1992/03/12,普通,數位檔／線上閱覽,民主同盟,時段錯位（1992），超出本平台 1941-1950 範圍,007000000616A,007-070603-00003-001
A,,007-070603-00005-002,國際民主同盟組織簡介,李登輝總統文物,李登輝總統文物/ 李登輝基金會捐贈檔案史料 / 總統府檔案資料夾文件 / 外交,0000/05/27 ~ 0000/05/27,普通,數位檔／線上閱覽,民主同盟,題名直接命中「民主同盟」+ 國家核心全宗（日期待現場確認）,007000000626A,007-070603-00005-002
C,,008-010506-00009-009,東北問題參考資料：東北各野黨活動情形簡述,陳誠副總統文物,陳誠副總統文物/ 文件 / 政務 / 東北行轅,0000/09/15 ~ 0000/09/15,普通,數位檔／線上閱覽,民主同盟,無民盟直接命中，剔除,008000001253A,008-010506-00009-009
C,1976,009-030204-00059-099,臺灣省政府主席謝東閔接見亞洲反共自由民主同盟代表,謝東閔副總統文物,謝東閔副總統文物/ 照片 / 時期 / 臺灣省政府主席,1976/01/22 ~ 1976/01/22,普通,數位檔／線上閱覽,民主同盟,時段錯位（1976），超出本平台 1941-1950 範圍,009000000182P,009-030204-00059-099
C,1980,011-080200-0114,日本政情報告（二）【原卷名：日本政情報告】,總統府,總統府/ 行政事項 / 外交類 /,,普通,數位檔／線上閱覽,民主同盟,時段錯位（1980），超出本平台 1941-1950 範圍,011000000074A,011-080200-0114
B,1947,017-090104-0053,政情剪報（六）,交通部,交通部/ 總務 / 文書 / 剪報,,普通,原件／新店閱覽室,民主同盟,邊緣全宗（交通部），非國家核心檔案,017000021711A,017-090104-0053
C,1946,020-010502-0007,駐新加坡總領事伍伯勝出巡事,外交部,外交部/ 亞東太平洋司 / 新加坡 / 外交,,普通,數位檔／線上閱覽,民主同盟,題名含「新加坡」屬南洋華僑/清末民初同名誤命中,020000000312A,020-010502-0007
C,1947,020-010408-0090,暹羅（泰國）中華總商會改選（二）,外交部,外交部/ 亞東太平洋司 / 泰國 / 僑務,,普通 / 外交部98年2月17日外檔資一字第09801013150號函註銷密等,數位檔／線上閱覽,民主同盟,題名含「暹羅」屬南洋華僑/清末民初同名誤命中,020000000855A,020-010408-0090
B,1945,020-050212-0002,中共動態及國共談判重要文獻,外交部,外交部/ 北美司 / 美國 / 國際共黨活動與中共動態,,普通 / 外交部98年3月31日外檔資一字第09837001700號函註銷密等,數位檔／臺北閱覽室,民主同盟; 張瀾; 沈鈞儒; 章伯鈞; 政治協商會議,"人物擦邊（ 張瀾, 沈鈞儒, 章伯鈞），核心時段，需現場確認與民盟史關聯",020000002656A,020-050212-0002
C,1960,020-101700-0001,上伏塔（布吉納法索）慶弔,外交部,外交部/ 禮賓司 / 外國慶弔 /,,普通,數位檔／線上閱覽,民主同盟,時段錯位（1960），超出本平台 1941-1950 範圍,020000005559A,020-101700-0001
C,1962,020-101200-0056,象牙海岸人士訪華,外交部,外交部/ 禮賓司 / 非洲人士訪華 /,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1962），超出本平台 1941-1950 範圍,020000005768A,020-101200-0056
C,1979,020-130600-0031,中國國民黨第十一屆中央委員會常務委員會會議議程及會議紀錄（十七）,外交部,外交部/ 秘書處 / 黨政關係 /,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,數位檔／臺北閱覽室,民主同盟,時段錯位（1979），超出本平台 1941-1950 範圍,020000012292A,020-130600-0031
C,1984,020-180300-0016,外交部重要方案七十三年度執行進度表及進度檢討表（八）,外交部,外交部/ 研究設計委員會 / 重要方案 /,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,數位檔／臺北閱覽室,民主同盟,時段錯位（1984），超出本平台 1941-1950 範圍,020000012891A,020-180300-0016
C,1983,020-180300-0006,外交部重要方案七十二年度執行進度表及進度檢討表（三）,外交部,外交部/ 研究設計委員會 / 重要方案 /,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,數位檔／臺北閱覽室,民主同盟,時段錯位（1983），超出本平台 1941-1950 範圍,020000012898A,020-180300-0006
C,1978,020-101600-0143,賀行政院長蔣經國當選第六任總統（二）,外交部,外交部/ 禮賓司 / 我國慶弔 /,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,數位檔／臺北閱覽室,民主同盟,時段錯位（1978），超出本平台 1941-1950 範圍,020000014126A,020-101600-0143
C,1983,020-099905-0081,臺獨、臺灣同鄉會、黨外人士、美麗島事件、叛亂份子剪報（二）,外交部,外交部/ 新聞文化司 / 綜合 / 黨外活動,,普通,請洽檔案局,民主同盟,時段錯位（1983），超出本平台 1941-1950 範圍,020000020028A,020-099905-0081
C,1973,020-090204-0069,寄送外館書刊資料（三）,外交部,外交部/ 新聞文化司 / 宣傳 / 宣傳資料,,普通 / 外交部98年3月31日外檔資一字第09837001700號函註銷密等,數位檔／臺北閱覽室,民主同盟,時段錯位（1973），超出本平台 1941-1950 範圍,020000020128A,020-090204-0069
C,1961,020-040801-0044,法國政黨（二）,外交部,外交部/ 歐洲司 / 法國 / 政治,,普通,數位檔／線上閱覽,民主同盟,時段錯位（1961），超出本平台 1941-1950 範圍,020000022501A,020-040801-0044
C,1957,020-040801-0008,法國政情（三）,外交部,外交部/ 歐洲司 / 法國 / 政治,,普通,數位檔／線上閱覽,民主同盟,時段錯位（1957），超出本平台 1941-1950 範圍,020000022514A,020-040801-0008
C,1965,020-040801-0017,法國政情（十二）,外交部,外交部/ 歐洲司 / 法國 / 政治,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1965），超出本平台 1941-1950 範圍,020000022522A,020-040801-0017
C,1967,020-040801-0018,法國政情（十三）,外交部,外交部/ 歐洲司 / 法國 / 政治,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1967），超出本平台 1941-1950 範圍,020000022523A,020-040801-0018
C,1968,020-040801-0019,法國政情（十四）,外交部,外交部/ 歐洲司 / 法國 / 政治,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1968），超出本平台 1941-1950 範圍,020000022524A,020-040801-0019
C,1969,020-040801-0021,法國政情（十六）,外交部,外交部/ 歐洲司 / 法國 / 政治,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1969），超出本平台 1941-1950 範圍,020000022526A,020-040801-0021
C,1973,020-040801-0023,法國政情（十八）,外交部,外交部/ 歐洲司 / 法國 / 政治,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1973），超出本平台 1941-1950 範圍,020000022528A,020-040801-0023
C,1976,020-040801-0027,法國政情（二十二）,外交部,外交部/ 歐洲司 / 法國 / 政治,,普通,數位檔／線上閱覽,民主同盟,時段錯位（1976），超出本平台 1941-1950 範圍,020000022532A,020-040801-0027
C,1985,020-040801-0038,法國政情（三十三）,外交部,外交部/ 歐洲司 / 法國 / 政治,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1985），超出本平台 1941-1950 範圍,020000022537A,020-040801-0038
C,1983,020-049901-0044,歐洲政情月報（二十）,外交部,外交部/ 歐洲司 / 綜合 / 各國政情,,普通,數位檔／線上閱覽,民主同盟,時段錯位（1983），超出本平台 1941-1950 範圍,020000022691A,020-049901-0044
C,1956,020-040601-0037,希臘總選舉,外交部,外交部/ 歐洲司 / 希臘 / 政治,,普通,數位檔／線上閱覽,民主同盟,時段錯位（1956），超出本平台 1941-1950 範圍,020000022813A,020-040601-0037
C,1969,020-040802-0027,法國人士訪華（三）,外交部,外交部/ 歐洲司 / 法國 / 外交,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,數位檔／臺北閱覽室,民主同盟,時段錯位（1969），超出本平台 1941-1950 範圍,020000023047A,020-040802-0027
C,1959,020-063202-0019,中共技藝團訪問中南美（二）,外交部,外交部/ 中南美司 / 國際共黨活動與中共動態 / 中共動態,,普通 / 外交部98年3月31日外檔資一字第09837001700號函註銷密等,數位檔／臺北閱覽室,民主同盟,時段錯位（1959），超出本平台 1941-1950 範圍,020000024504A,020-063202-0019
C,1953,020-011007-0161,越南逮捕共黨嫌疑華僑,外交部,外交部/ 亞東太平洋司 / 越南 / 僑務,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,數位檔／臺北閱覽室,民主同盟,題名含「華僑」屬南洋華僑/清末民初同名誤命中,020000031234A,020-011007-0161
C,1959,020-019903-0053,對越外交工作報告等資料,外交部,外交部/ 亞東太平洋司 / 綜合 / 亞太司事務,,普通 / 外交部98年3月31日外檔資一字第09837001700號函註銷密等,數位檔／臺北閱覽室,民主同盟,時段錯位（1959），超出本平台 1941-1950 範圍,020000031509A,020-019903-0053
C,1993,020-019906-0032,綜合外電（二）,外交部,外交部/ 亞東太平洋司 / 綜合 / 參考資料,,普通 / 外交部108年1月14日資電史字第10836500430號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1993），超出本平台 1941-1950 範圍,020000031747A,020-019906-0032
C,1967,020-990600-0535,德國政情（七）,外交部,外交部/ 國家檔案分類表 / 外交 /,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1967），超出本平台 1941-1950 範圍,020000035031A,020-990600-0535
C,1977,020-990600-0586,德國政情（五十八）,外交部,外交部/ 國家檔案分類表 / 外交 /,,普通,數位檔／線上閱覽,民主同盟,時段錯位（1977），超出本平台 1941-1950 範圍,020000035082A,020-990600-0586
C,1959,020-990600-0953,尼日政情（一）,外交部,外交部/ 國家檔案分類表 / 外交 /,,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,申請閱覽 (尚未檢視),民主同盟,時段錯位（1959），超出本平台 1941-1950 範圍,020000035449A,020-990600-0953
C,1947,026-020500-0156,社會秩序及社會結社相關案卷（四十五）,內政部,內政部/ 警政 / 保安 /,,普通 / 內政部民國106年9月20日台內總字第10600656191號通知單、勞動部106年9月30日勞動秘文字第1060022400號函及衛生福利部106年10月26日衛部密字第1062161986號通知單註銷密等,申請閱覽 (尚未檢視),民主同盟,無民盟直接命中，剔除,026000003211A,026-020500-0156
C,1930,116-010108-0722-020,文電課電閻錫山報稱得平訊偽中華民主同盟會曾在津開軍事會議,閻錫山史料,閻錫山史料/ 文件 / 電報 / 各方往來電文原案及錄存,1930/10/30 ~ 1930/10/30,普通 / 行政院秘書長民國106年12月15日院臺綜字第1060199350號函及國史館第1060003028號簽概括解密,數位檔／線上閱覽,民主同盟,時段錯位（1930），早於民盟前身成立,116000000492A,116-010108-0722-020
C,1930,116-010108-0177-020,文電課電閻錫山報稱得平訊偽中華民主同盟會曾在津開軍事會議,閻錫山史料,閻錫山史料/ 文件 / 電報 / 各方往來電文原案及錄存,1930/10/30 ~ 1930/10/30,普通 / 行政院秘書長民國106年12月15日院臺綜字第1060199350號函及國史館第1060003028號簽概括解密,數位檔／線上閱覽,民主同盟,時段錯位（1930），早於民盟前身成立,116000001229A,116-010108-0177-020
C,1907,129-030000-0326,史良,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,,普通,數位檔／臺北閱覽室,民主同盟,時段錯位（1907），早於民盟前身成立,129000010326A,129-030000-0326
C,,129-030000-0328,劉清揚,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,,普通,數位檔／臺北閱覽室,民主同盟; 民盟; 沈鈞儒,人物擦邊（ 沈鈞儒），時段 不明,129000010328A,129-030000-0328
A,,129-030000-1233,沈鈞儒,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,,普通,數位檔／臺北閱覽室,民主同盟; 沈鈞儒,題名直接命中「沈鈞儒」+ 國家核心全宗（日期待現場確認）,129000011233A,129-030000-1233
C,,129-030000-1257,張東蓀,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000011257A,129-030000-1257
C,1903,129-040000-0786,梁益堂,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列四 / /,,普通,數位檔／臺北閱覽室,民主同盟,時段錯位（1903），早於民盟前身成立,129000015786A,129-040000-0786
C,1903,129-040000-3283,彭迪先,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列四 / /,,普通,數位檔／臺北閱覽室,民主同盟,時段錯位（1903），早於民盟前身成立,129000018283A,129-040000-3283
C,1905,129-090000-4467,薩空了,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,民主同盟,時段錯位（1905），早於民盟前身成立,129000044467A,129-090000-4467
C,,129-090000-4476,田雨人,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000044476A,129-090000-4476
C,,129-090000-4481,張殊明,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000044481A,129-090000-4481
C,,129-090000-4490,莊希泉,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000044490A,129-090000-4490
C,,129-090000-4504,阿里木江,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000044504A,129-090000-4504
C,1917,129-090000-4509,賽福鼎,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,民主同盟; 政治協商會議,時段錯位（1917），早於民盟前身成立,129000044509A,129-090000-4509
C,,129-090000-4546,沙彥楷,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000044546A,129-090000-4546
C,,129-090000-4575,張鴻鼎,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000044575A,129-090000-4575
C,,129-100000-0428,李章達,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000045428A,129-100000-0428
C,1909,129-100000-1464,李鐵民,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,民主同盟,時段錯位（1909），早於民盟前身成立,129000046464A,129-100000-1464
C,1910,129-100000-3958,丘哲,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,民主同盟,時段錯位（1910），早於民盟前身成立,129000048958A,129-100000-3958
C,,129-100000-4528,吳晗,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000049528A,129-100000-4528
C,1904,129-100000-4578,張國藩,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,民主同盟,時段錯位（1904），早於民盟前身成立,129000049578A,129-100000-4578
C,1901,129-100000-4904,成伯仁,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,民主同盟,時段錯位（1901），早於民盟前身成立,129000049904A,129-100000-4904
C,,129-100000-4936,卡尤木伯克和加,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000049936A,129-100000-4936
C,,129-100000-4956,伊木拉音,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000049956A,129-100000-4956
C,,129-100000-4990,列斯肯,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000049990A,129-100000-4990
C,,129-110000-0041,張鋒伯,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050041A,129-110000-0041
C,,129-110000-0047,韓望塵,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050047A,129-110000-0047
C,,129-110000-0096,楊子恒,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050096A,129-110000-0096
C,,129-110000-0098,魏子愚,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050098A,129-110000-0098
C,,129-110000-0174,艾尼瓦爾巴巴,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050174A,129-110000-0174
C,,129-110000-0175,艾斯哈特,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050175A,129-110000-0175
C,,129-110000-0179,阿不都熱合滿木黑提,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050179A,129-110000-0179
C,,129-110000-0185,達夏甫,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050185A,129-110000-0185
C,,129-110000-0308,蘇延賓,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050308A,129-110000-0308
C,,129-110000-0512,莫迺羣,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050512A,129-110000-0512
C,,129-110000-0514,李伯球,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟; 民盟,無民盟直接命中，剔除,129000050514A,129-110000-0514
C,,129-110000-0796,雲應霖,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000050796A,129-110000-0796
C,,129-110000-1921,梁聚五,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000051921A,129-110000-1921
C,,129-110000-2320,田一平,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000052320A,129-110000-2320
C,,129-110000-2423,范樸齋,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000052423A,129-110000-2423
C,,129-110000-2454,曾庶凡,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000052454A,129-110000-2454
C,,129-110000-2516,覃子羣,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000052516A,129-110000-2516
C,,129-110000-2559,王德偉,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列十一 / /,,普通,數位檔／臺北閱覽室,民主同盟,無民盟直接命中，剔除,129000052559A,129-110000-2559
