tier,review_score,grade,class_score,doc_id,page_id,date_guess,title,reason,doc_key,url
重点校订,135,A,90,506,897,1945/06/23 ~ 1945/06/23,蒋中正电戴笠前报中国民主同盟传与李宗仁赫尔利晤谈中共问题事应彻查所说之人,组织直接命中：中国民主同盟、民主同盟；事件：赫尔利；机关/情报：戴笠、蒋中正；年份：1945,drnh:002-080200-00301-056,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDMwMS0wNTYiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,135,A,90,515,906,1945/06/30 ~ 1945/06/30,戴笠呈蒋中正有关赫尔利曾召民主同盟张申府董时进谈话要点,组织直接命中：民主同盟；事件：赫尔利；机关/情报：戴笠、蒋中正；年份：1945,drnh:002-020300-00050-106,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAyMDMwMC0wMDA1MC0xMDYiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,135,A,90,537,928,1946/11/12 ~ 1946/11/12,蒋中正接见张嘉璈听其报告民社党民主同盟代表动向又闻张君劢赴沪召集民社党人士会商参加国民大会即嘱张嘉璈赴沪促其返京免于在沪受共党包围动摇其志另得孙科报告今日下…,组织直接命中：民主同盟；人物：张君劢；事件：国民大会；机关/情报：蒋中正；年份：1946,drnh:002-060100-00218-012,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA2MDEwMC0wMDIxOC0wMTIiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,135,A,90,518,909,1947/01/17 ~ 1947/01/17,保密局呈蒋中正中共与民主同盟对马歇尔离华及任国务卿之反应,组织直接命中：民主同盟；事件：马歇尔；机关/情报：蒋中正、保密局；年份：1947,drnh:002-020400-00004-088,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAyMDQwMC0wMDAwNC0wODgiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,135,A,90,593,984,1947/11/12 ~ 1947/11/12,薛岳汇呈蒋中正桂境共匪日趋猖獗及山西匪区发起欢迎冯玉祥运动与民盟解散后首要分子之动态等情报提要等七则,组织直接命中：民盟；事件：解散；机关/情报：蒋中正、情报；年份：1947,drnh:002-080200-00537-095,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDUzNy0wOTUiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,135,A,90,594,985,1947/11/19 ~ 1947/11/19,薛岳汇呈蒋中正中共策动港粤反宋运动及民盟西南总支部否认解散与中华职教社停止对外活动等情报提要等三则,组织直接命中：民盟；事件：解散；机关/情报：蒋中正、情报；年份：1947,drnh:002-080200-00537-101,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDUzNy0xMDEiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,134,A,90,533,924,1945/05/30 ~ 1945/05/30,蒋中正电孔祥熙前嘱宋子文抵美以旧金山会议急促乃嘱席德懋转达一切美财政经济等未了诸事不如托交子文负责请兄回国襄助以免事出两歧另戴笠呈情报称民主同盟常委会决以左…,组织直接命中：民主同盟；机关/情报：戴笠、蒋中正、情报；年份：1945,drnh:002-060100-00200-030,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA2MDEwMC0wMDIwMC0wMzAiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,134,A,90,601,992,1946/12/18 ~ 1946/12/18,保密局及谷正鼎等呈蒋中正中共企图控制民盟扩大其力量以恢复和谈及运用斗争策略颁五上路线等动态情报提要六则,组织直接命中：民盟；机关/情报：蒋中正、情报、保密局；年份：1946,drnh:002-080200-00541-005,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDU0MS0wMDUiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,134,A,90,600,991,1947/01/04 ~ 1947/01/04,保密局等呈蒋中正民盟酝酿改组为政党民社党商讨参政及周鲸文筹组东北文协上海分会等各党派动态情报提要六则,组织直接命中：民盟；机关/情报：蒋中正、情报、保密局；年份：1947,drnh:002-080200-00541-003,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDU0MS0wMDMiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,134,A,90,602,993,1947/01/09 ~ 1947/01/09,保密局呈蒋中正民社党对参加政府态度及民盟二中全会对共党表不满并与奸伪图组华南民主联军暨中共在京成立江南政治局等情报提要四则,组织直接命中：民盟；机关/情报：蒋中正、情报、保密局；年份：1947,drnh:002-080200-00541-008,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDU0MS0wMDgiLCJhdHRyIjoiKyJ9XX0%3D
