identifier,title,date,year,matched_keywords,kind,ia_detail_url
cia-readingroom-document-cia-rdp78-00915r000700120002-9,CIA Reading Room cia-rdp78-00915r000700120002-9: COMMUNIST AGRARIAN TACTICS A Working Paper prepared in 1954-1955,1955-01-01,1955,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-00915r000700120002-9
cia-readingroom-document-cia-rdp80r01443r000300190002-8,CIA Reading Room cia-rdp80r01443r000300190002-8: BACKGROUND - TITO'S TRIP,1955-01-04,1955,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80r01443r000300190002-8
cia-readingroom-document-cia-rdp80r01443r000300190016-3,CIA Reading Room cia-rdp80r01443r000300190016-3: TITO'S TRIP,1955-01-04,1955,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80r01443r000300190016-3
cia-readingroom-document-02989043,CIA Reading Room 02989043: CURRENT INTELLIGENCE BULLETIN - 1955/01/12,1955-01-12,1955,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02989043
cia-readingroom-document-cia-rdp79r01012a006000030013-0,CIA Reading Room cia-rdp79r01012a006000030013-0: PROBABLE DEVELOPMENTS IN INDONESIA THROUGH 1955,1955-03-01,1955,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a006000030013-0
cia-readingroom-document-cia-rdp79-00927a000400230001-4,CIA Reading Room cia-rdp79-00927a000400230001-4: CURRENT INTELLIGENCE WEEKLY SUMMARY,1955-03-17,1955,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp79-00927a000400230001-4
cia-readingroom-document-cia-rdp80s01540r006600020013-9,CIA Reading Room cia-rdp80s01540r006600020013-9: THE EAST GERMAN MINISTRY OF FOREIGN AFFAIRS,1955-05-04,1955,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80s01540r006600020013-9
cia-readingroom-document-03194472,CIA Reading Room 03194472: CURRENT INTELLIGENCE BULLETIN - 1955/06/08,1955-06-08,1955,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-03194472
cia-readingroom-document-cia-rdp79r01012a006400010015-6,CIA Reading Room cia-rdp79r01012a006400010015-6: IMPLICATIONS OF GROWING NUCLEAR CAPABILITIES FOR THE COMMUNIST BLOC AND THE FREE WORLD,1955-06-14,1955,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a006400010015-6
cia-readingroom-document-03448308,CIA Reading Room 03448308: CURRENT INTELLIGENCE BULLETIN - 1955/07/07,1955-07-07,1955,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-03448308
cia-readingroom-document-cia-rdp80-00809a000700240026-5,CIA Reading Room cia-rdp80-00809a000700240026-5: PROPAGANDA AND EDUCATION IN THE CHINESE COMMUNIST YOUTH CORPS,1955-09-06,1955,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700240026-5
cia-readingroom-document-cia-rdp79-00927a000600090001-8,CIA Reading Room cia-rdp79-00927a000600090001-8: CURRENT INTELLIGENCE WEEKLY SUMMARY,1955-09-15,1955,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp79-00927a000600090001-8
cia-readingroom-document-cia-rdp79r01012a005800010001-8,CIA Reading Room cia-rdp79r01012a005800010001-8: PROBABLE DEVELOPMENTS IN JAPAN OVER THE NEXT DECADE,1955-09-27,1955,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a005800010001-8
cia-readingroom-document-cia-rdp80-00809a000700240119-2,"CIA Reading Room cia-rdp80-00809a000700240119-2: MILITARY INFORMATION FROM THE SOVIET PRESS, 1 AUGUST-5 OCTOBER 1955",1955-11-15,1955,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700240119-2
cia-readingroom-document-cia-rdp79r01012a006900050001-2,CIA Reading Room cia-rdp79r01012a006900050001-2: PROBABLE DEVELOPMENTS IN THE EUROPEAN SATELLITES THROUGH 1960,1956-01-10,1956,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a006900050001-2
cia-readingroom-document-cia-rdp80m01009a001402440008-7,"CIA Reading Room cia-rdp80m01009a001402440008-7: ASSESSMENT OF COMMUNIST SUCCESSES, PROBLEMS AND PROSPECTS",1956-01-26,1956,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80m01009a001402440008-7
cia-readingroom-document-cia-rdp80m01009a001402440009-6,"CIA Reading Room cia-rdp80m01009a001402440009-6: ASSESSMENT OF COMMUNIST SUCCESSES, PROBLEMS AND PROSPECTS",1956-02-03,1956,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80m01009a001402440009-6
cia-readingroom-document-cia-rdp80m01009a001402440006-9,"CIA Reading Room cia-rdp80m01009a001402440006-9: NATIONAL WAR COLLEGE LECTURE 3 FEBRUARY 1956 ASSESSMENT OF COMMUNIST SUCCESSES, PROBLEMS AND PROSPECTS",1956-02-03,1956,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp80m01009a001402440006-9
cia-readingroom-document-cia-rdp80m01009a001402440003-2,"CIA Reading Room cia-rdp80m01009a001402440003-2: NATIONAL WAR COLLEGE LECTURE 3 FEBRUARY 1956 ASSESSMENT OF COMMUNIST SUCCESSES, PROBLEMS AND PROSPECTS",1956-02-03,1956,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp80m01009a001402440003-2
cia-readingroom-document-cia-rdp79r01012a007700020003-4,CIA Reading Room cia-rdp79r01012a007700020003-4: PROBABLE DEVELOPMENTS IN THE REPUBLIC OF KOREA THROUGH MID-1957,1956-02-07,1956,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a007700020003-4
cia-readingroom-document-cia-rdp79r01012a008000030001-1,CIA Reading Room cia-rdp79r01012a008000030001-1: PROBABLE DEVELOPMENTS IN BURMA,1956-04-10,1956,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a008000030001-1
cia-readingroom-document-02995596,CIA Reading Room 02995596: CURRENT INTELLIGENCE BULLETIN - 1956/04/11,1956-04-11,1956,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02995596
cia-readingroom-document-cia-rdp79-00927a000900030001-1,CIA Reading Room cia-rdp79-00927a000900030001-1: CURRENT INTELLIGENCE WEEKLY SUMMARY,1956-07-12,1956,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79-00927a000900030001-1
cia-readingroom-document-cia-rdp79-00927a001100110001-9,CIA Reading Room cia-rdp79-00927a001100110001-9: CURRENT INTELLIGENCE WEEKLY SUMMARY,1957-02-28,1957,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79-00927a001100110001-9
cia-readingroom-document-cia-rdp98-00979r000400300001-4,CIA Reading Room cia-rdp98-00979r000400300001-4: PROBABLE DEVELOPMENTS IN THAILAND,1957-06-18,1957,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp98-00979r000400300001-4
cia-readingroom-document-cia-rdp98-00979r000400130001-3,CIA Reading Room cia-rdp98-00979r000400130001-3: IMPLICATIONS OF GROWING NUCLEAR CAPABILITIES FOR THE COMMUNIST BLOC AND THE FREE WORLD,1957-07-09,1957,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp98-00979r000400130001-3
cia-readingroom-document-cia-rdp98-00979r000400450001-8,CIA Reading Room cia-rdp98-00979r000400450001-8: THE OUTLOOK FOR FRANCE,1957-08-13,1957,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp98-00979r000400450001-8
cia-readingroom-document-cia-rdp80t00246a073800530001-4,CIA Reading Room cia-rdp80t00246a073800530001-4: TITOISM AND SOVIET COMMUNISM: AN ANALYSIS AND COMPARISON OF THEORY AND PRACTICE,1957-10-01,1957,"""Political Consultative"" 1946",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80t00246a073800530001-4
cia-readingroom-document-03192683,CIA Reading Room 03192683: CURRENT INTELLIGENCE BULLETIN - 1957/11/21,1957-11-21,1957,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-03192683
