identifier,title,date,year,matched_keywords,kind,ia_detail_url
cia-readingroom-document-cia-rdp79-01090a000400020010-5,CIA Reading Room cia-rdp79-01090a000400020010-5: WESTERN EUROPE DIVISION OFFICE OF REPORTS AND ESTIMATES WORKING PAPER DIVISION WEEKLY,1949-12-06,1949,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79-01090a000400020010-5
cia-readingroom-document-cia-rdp79r01012a000500040040-0,CIA Reading Room cia-rdp79r01012a000500040040-0: POSSIBLE NIE ON INDIA'S POSITION IN THE WORLD BALANCE OF POWER,1950-01-05,1950,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a000500040040-0
cia-readingroom-document-cia-rdp82-00457r004200290005-3,CIA Reading Room cia-rdp82-00457r004200290005-3: SITUATION IN SINKIANG PROVINCE,1950-01-26,1950,"""Political Consultative"" 1946",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r004200290005-3
cia-readingroom-document-cia-rdp78-01617a002300270001-6,CIA Reading Room cia-rdp78-01617a002300270001-6: WEEKLY SUMMARY #87,1950-01-27,1950,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002300270001-6
cia-readingroom-document-cia-rdp78-01617a001300320001-1,CIA Reading Room cia-rdp78-01617a001300320001-1: REVIEW OF THE WORLD SITUATION,1950-03-15,1950,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a001300320001-1
cia-readingroom-document-cia-rdp82-00457r004500500008-3,CIA Reading Room cia-rdp82-00457r004500500008-3: DENIAL OF NEWS REPORTS BY CHANG FA-KNEI,1950-03-20,1950,"""third party"" Chiang Kai-shek",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r004500500008-3
cia-readingroom-document-cia-rdp78-01617a003800070002-1,CIA Reading Room cia-rdp78-01617a003800070002-1: FRENCH LABOR UNREST IN 1950 AND ITS IMPLICATIONS FOR THE ATTAINMENT OF US OBJECTIVES IN WESTERN EUROPE,1950-04-10,1950,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a003800070002-1
cia-readingroom-document-cia-rdp67-00059a000500100013-1,CIA Reading Room cia-rdp67-00059a000500100013-1: REVIEW OF THE WORLD SITUATION AS IT RELATES TO THE SECURITY OF THE UNITED STATES,1950-06-12,1950,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp67-00059a000500100013-1
cia-readingroom-document-cia-rdp78-01617a001300350001-8,CIA Reading Room cia-rdp78-01617a001300350001-8: REVIEW OF THE WORLD SITUATION,1950-06-14,1950,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a001300350001-8
cia-readingroom-document-cia-rdp78-01617a002300060001-9,CIA Reading Room cia-rdp78-01617a002300060001-9: WEEKLY SUMMARY #108,1950-06-23,1950,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002300060001-9
cia-readingroom-document-cia-rdp82-00457r005200490011-3,CIA Reading Room cia-rdp82-00457r005200490011-3: REACTIONS OF VARIOUS CHINESE ELEMENTS TO U.S. FAR EASTERN POLICY,1950-07-07,1950,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r005200490011-3
cia-readingroom-document-cia-rdp78-01617a002400030001-1,CIA Reading Room cia-rdp78-01617a002400030001-1: THE WARM PEACE,1950-08-18,1950,"""Democratic Parties"" Peiping; ""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002400030001-1
cia-readingroom-document-cia-rdp78-01617a002400040001-0,CIA Reading Room cia-rdp78-01617a002400040001-0: UNITED NATIONS,1950-08-25,1950,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002400040001-0
cia-readingroom-document-cia-rdp78-01617a002400060001-8,CIA Reading Room cia-rdp78-01617a002400060001-8: WESTERN MILITARY DEVELOPMENTS,1950-09-08,1950,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002400060001-8
cia-readingroom-document-cia-rdp80-00809a000600350191-1,CIA Reading Room cia-rdp80-00809a000600350191-1: REPORTS ON NATIONAL CULTURE AND EDUCATION,1950-10-05,1950,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600350191-1
cia-readingroom-document-cia-rdp79-01090a000300050002-2,CIA Reading Room cia-rdp79-01090a000300050002-2: SUMMARIES OF TRENDS AND DEVELOPMENTS,1950-12-12,1950,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp79-01090a000300050002-2
cia-readingroom-document-cia-rdp79-01090a000300050004-0,CIA Reading Room cia-rdp79-01090a000300050004-0: SUMMARIES OF TRENDS AND DEVELOPMENTS,1950-12-26,1950,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79-01090a000300050004-0
cia-readingroom-document-cia-rdp80-00809a000600380636-4,CIA Reading Room cia-rdp80-00809a000600380636-4: CCP EXPANDS AND PUSHES LAND REFORM,1951-03-30,1951,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600380636-4
cia-readingroom-document-cia-rdp80-00809a000600390004-4,CIA Reading Room cia-rdp80-00809a000600390004-4: COUNTERREVOLUTIONARY ACTIVITIES IN CHINA,1951-04-13,1951,"""Political Consultative"" 1946; ""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600390004-4
cia-readingroom-document-02733128,CIA Reading Room 02733128: CURRENT INTELLIGENCE BULLETIN - 1951/05/19,1951-05-19,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02733128
cia-readingroom-document-cia-rdp82-00457r007800730002-1,CIA Reading Room cia-rdp82-00457r007800730002-1: 1. KWANGSI GUERRILLA ACTIVITIES 2. ACTIVITIES OF THIRD FORCE LEADERS,1951-05-29,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r007800730002-1
cia-readingroom-document-02895348,CIA Reading Room 02895348: DAILY DIGEST JUN 1 1951,1951-06-01,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02895348
cia-readingroom-document-02003065,CIA Reading Room 02003065: CURRENT INTELLIGENCE BULLETIN - 1951/06/02,1951-06-02,1951,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-02003065
cia-readingroom-document-cia-rdp80-00809a000600390649-9,CIA Reading Room cia-rdp80-00809a000600390649-9: SHANGHAI RUSSIAN PAPER NOTES PROGRESS IN CHINESE AGRARIAN REFORMS AND THE AID OF THE USSR,1951-06-13,1951,"""Democratic Parties"" Peiping",concept,https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600390649-9
