doc_key,grade,score,needs_review,reason
frus1946v10/d370,核心文献,76,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1946v10/d372,相关文献,54,0,组织词出现 2 次；涉及组织定位、政治纲领；文本信息量较高
frus1946v10/d379,相关文献,32,0,组织词出现 1 次；涉及政治纲领
frus1947v07/d3,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1947v07/d8,相关文献,37,0,组织词出现 1 次；涉及新政协；文本信息量较高
frus1947v07/d19,核心文献,86,0,组织词出现 7 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d25,相关文献,49,0,组织词出现 1 次；涉及组织定位、压制/解散；文本信息量较高
frus1947v07/d40,核心文献,76,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d54,相关文献,32,0,组织词出现 1 次；涉及组织定位
frus1947v07/d66,核心文献,65,0,组织词出现 1 次；涉及组织定位、政协/谈判、压制/解散、新政协；文本信息量较高
frus1947v07/d82,核心文献,74,0,组织词出现 4 次；命中民盟关键人物；涉及政协/谈判、压制/解散；文本信息量较高
frus1947v07/d87,核心文献,69,0,组织词出现 3 次；命中民盟关键人物；涉及组织定位、政协/谈判；文本信息量较高
frus1947v07/d93,核心文献,59,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、政协/谈判；文本信息量较高
frus1947v07/d98,核心文献,59,0,组织词出现 3 次；涉及组织定位、政协/谈判；文本信息量较高
frus1947v07/d101,核心文献,62,0,组织词出现 6 次；命中民盟关键人物；涉及政协/谈判；文本信息量较高
frus1947v07/d104,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d110,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1947v07/d121,相关文献,54,0,组织词出现 2 次；涉及组织定位、新政协；文本信息量较高
frus1947v07/d123,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d126,相关文献,49,0,组织词出现 1 次；涉及组织定位、新政协；文本信息量较高
frus1947v07/d133,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d161,相关文献,52,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位；文本信息量较高
frus1947v07/d184,核心文献,61,0,组织词出现 1 次；涉及组织定位、政协/谈判、新政协；文本信息量较高
frus1947v07/d192,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1947v07/d215,相关文献,52,0,组织词出现 4 次；涉及组织定位；文本信息量较高
frus1947v07/d218,核心文献,71,0,组织词出现 3 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d250,核心文献,80,0,组织词出现 15 次；涉及组织定位、政治纲领、政协/谈判、压制/解散；文本信息量较高
frus1947v07/d259,相关文献,40,0,组织词出现 2 次；命中民盟关键人物；文本信息量较高
frus1947v07/d264,核心文献,74,0,组织词出现 12 次；命中民盟关键人物；涉及组织定位、政治纲领；文本信息量较高
frus1947v07/d266,核心文献,76,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d267,相关文献,44,0,组织词出现 1 次；涉及组织定位、压制/解散
frus1947v07/d268,相关文献,42,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位
frus1947v07/d269,核心文献,65,0,组织词出现 1 次；涉及组织定位、政治纲领、压制/解散、新政协；文本信息量较高
frus1947v07/d270,背景材料,0,0,组织词弱命中或上下文较少，作为背景线索保留
frus1947v07/d272,核心文献,69,0,组织词出现 3 次；命中民盟关键人物；涉及组织定位、压制/解散；文本信息量较高
frus1947v07/d273,相关文献,32,0,组织词出现 1 次；涉及组织定位
frus1947v07/d274,核心文献,86,0,组织词出现 5 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1947v07/d278,相关文献,32,0,组织词出现 1 次；涉及政治纲领
frus1947v07/d279,核心文献,59,0,组织词出现 3 次；涉及组织定位、压制/解散；文本信息量较高
