_matched_queries,題名,典藏號,全宗號,全宗名稱,全宗系列,隸屬卷名/件號,本件日期,卷件開始日期,卷件結束日期,密等,密等/解密紀錄,隱私問題,提供方式/地點,閱覽方式,數位化,應用限制,_collection,_identifier,入藏登錄號,內容描述,卷名,本卷日期,檔案年代,檔案系列,申請序號,相關人員,相關地點,調閱參照,資料類型,關鍵詞組
民主同盟,行政院長嚴家淦函復中華民國駐智利大使湯武所附智利在自由世界之地位一文分析週詳具見用心,006-010606-00004-005,006,嚴家淦總統文物,嚴家淦總統文物/ 文件 / 行政院長時期（1963-12至1972-06） / 函電,任行政院長時：函（五十三年）（三）,1964/06/19 ~ 1964/06/19,1964/06/19,1964/06/19,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,006000000114A,006-010606-00004-005,006000000114A,行政院長嚴家淦函復中華民國駐智利大使湯武所附智利在自由世界之地位一文分析週詳具見用心,任行政院長時：函（五十三年）（三）,,1964民國53年,嚴家淦總統文物/文件/行政院長時期（1963-12至1972-06）/函電,006000000114A006-010606-00004-005,沙德堅，劉孝推，謝耿民，亞歷山大，Gabriela Mistrel，Julio Duran(杜蘭)，Salvador Allende(艾燕德)，Eduardo Frei(傅萊儀)，鍾錫輝，高志堅，陳棣康，毛澤東，李劍萍，白瑞拉，李應年，蔣中正,北平,006000000114A006-010606-00004-005,文件,聯合國大會，共產主義，麥哲倫海峽，國際開發銀行，中央銀行，國際貿易，外匯，民主同盟，自由黨，保守黨，急進黨，社會黨，華僑，僑委會，僑社，國家安全局，外交部，經濟部，中華民國駐智利國大使館
民主同盟,朱諶於中國國民黨中央考核紀律委員會黨務專案研究報告法國共和聯盟、法蘭西民主同盟及其聯合陣線內部運作研究,007-070603-00003-001,007,李登輝總統文物,李登輝總統文物/ 李登輝基金會捐贈檔案史料 / 總統府檔案資料夾文件 / 外交,總統府檔案資料夾文件：歐洲地區政情（二）,1992/03/12 ~ 1992/03/12,1992/03/12,1992/03/12,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,數位檔如欲運用於出版品、展示應用及公開傳輸，應標註檔案影像來源為財團法人李登輝基金會與國史館合作計畫。,007000000616A,007-070603-00003-001,007000000616A,朱諶於中國國民黨中央考核紀律委員會黨務專案研究報告法國共和聯盟、法蘭西民主同盟及其聯合陣線內部運作研究,總統府檔案資料夾文件：歐洲地區政情（二）,,1992民國81年,李登輝總統文物/李登輝基金會捐贈檔案史料/總統府檔案資料夾文件/外交,007000000616A007-070603-00003-001,,,007000000616A007-070603-00003-001,文件,中央考核紀律委員會
民主同盟,國際民主同盟組織簡介,007-070603-00005-002,007,李登輝總統文物,李登輝總統文物/ 李登輝基金會捐贈檔案史料 / 總統府檔案資料夾文件 / 外交,總統府檔案資料夾文件：國際組織（二）,0000/05/27 ~ 0000/05/27,0000/05/27,0000/05/27,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,數位檔如欲運用於出版品、展示應用及公開傳輸，應標註檔案影像來源為財團法人李登輝基金會與國史館合作計畫。,007000000626A,007-070603-00005-002,007000000626A,國際民主同盟組織簡介,總統府檔案資料夾文件：國際組織（二）,,none,李登輝總統文物/李登輝基金會捐贈檔案史料/總統府檔案資料夾文件/外交,007000000626A007-070603-00005-002,,,007000000626A007-070603-00005-002,文件,
民主同盟,東北問題參考資料：東北各野黨活動情形簡述,008-010506-00009-009,008,陳誠副總統文物,陳誠副總統文物/ 文件 / 政務 / 東北行轅,東北問題參考資料,0000/09/15 ~ 0000/09/15,0000/09/15,0000/09/15,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,008000001253A,008-010506-00009-009,008000001253A,東北問題參考資料：東北各野黨活動情形簡述,東北問題參考資料,,none,陳誠副總統文物/文件/政務/東北行轅,008000001253A008-010506-00009-009,張振國，易宏正，李泮東，馮亦吾，夏起詩，劉仲宜，劉仲明，寧恩承，王卓然，田蘊瑛，張寶恩，李心園，王文星，王興東，趙廣元,瀋陽，上海,008000001253A008-010506-00009-009,文件,中國民主社會黨，民社黨，民主同盟，青年黨
民主同盟,臺灣省政府主席謝東閔接見亞洲反共自由民主同盟代表,009-030204-00059-099,009,謝東閔副總統文物,謝東閔副總統文物/ 照片 / 時期 / 臺灣省政府主席,{#謝東閔#}先生任省政府主席時期照片（五十九）,1976/01/22 ~ 1976/01/22,1976/01/22,1976/01/22,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,009000000182P,009-030204-00059-099,009000000182P,臺灣省政府主席謝東閔接見亞洲反共自由民主同盟代表,謝東閔先生任省政府主席時期照片（五十九）,,1976民國65年,謝東閔副總統文物/照片/時期/臺灣省政府主席,009000000182P009-030204-00059-099,謝東閔,臺北市臺灣銀行三樓,009000000182P009-030204-00059-099,照片,
民主同盟,日本政情報告（二）【原卷名：日本政情報告】,011-080200-0114,011,總統府,總統府/ 行政事項 / 外交類 /,日本政情報告（二）【原卷名：日本政情報告】,,1980/03/19,1981/12/23,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,011000000074A,011-080200-0114,011000000074A,日本政情報告（六十九年五月份～七十年十一月份）：日本政府表示將不承認阿富汗政權，日本政府將暫時中止日蘇間人事交流但不與美國共同作經濟制裁，日本表明對伊朗問題之立場將以國際道義為前提而後考慮石油問題，日本與中共簽訂「渤海南、西部石油共同開發」契約等,日本政情報告（二）【原卷名：日本政情報告】,1980/03/19 ~ 1981/12/23,1980民國69年,總統府/行政事項/外交類/,011000000074A011-080200-0114,灘尾弘吉，安井謙，陳禮桂，卡特，華國鋒，杜魯道，雷根，薛本貴，譚震林，阿拉法特，張光世，櫻田武，安倍晉太郎，布希，馬可仕,香港，東京，莫斯科，巴黎，天津，福州，北平，廣島,011000000074A011-080200-0114,文件,亞東關係協會東京辦事處，自民黨，巴拉圭，南斯拉夫，中華民國留日東京華僑總會，歐洲民主同盟大會，新自由俱樂部，巴勒斯坦解放組織，美日安保條約，歐洲共同市場
民主同盟,政情剪報（六）,017-090104-0053,017,交通部,交通部/ 總務 / 文書 / 剪報,政情剪報（六）,,1947/07/02,1948/12/09,普通,普通,無隱私,原件／新店閱覽室,原件／新店閱覽室,尚未數位化,,017000021711A,017-090104-0053,017000021711A,全國動員戡亂、民國三十七年國慶、南京新民報停刊處分、民主同盟附共剪報資料,政情剪報（六）,1947/07/02 ~ 1948/12/09,1947民國36年,交通部/總務/文書/剪報,017000021711A017-090104-0053,,,017000021711A017-090104-0053,文件,
民主同盟,駐新加坡總領事伍伯勝出巡事,020-010502-0007,020,外交部,外交部/ 亞東太平洋司 / 新加坡 / 外交,駐新加坡總領事{#伍伯勝#}出巡事,,1946/04/15,1948/04/20,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,020000000312A,020-010502-0007,020000000312A,駐新加坡總領事伍伯勝呈報分次出巡馬來亞柔佛東西海岸砂勞越北婆羅洲等地經過及觀感，駐山打根領事俞培均呈報伍總領事宣視該屬僑胞經過並附呈該館工作大綱、及俞領事出巡北婆羅洲經過，駐巨港領事陳元屏呈視察邦加萬里洞及楠榜及萌古蓮報告等各領事出巡報告文電及剪報,駐新加坡總領事伍伯勝出巡事,1946/04/15 ~ 1948/04/20,1946民國35年,外交部/亞東太平洋司/新加坡/外交,020000000312A020-010502-0007,徐文治，黃子松，陳嘉庚，余壽浩，胡守愚，李鐵民，胡愈之，莊景琦，王德棻，卓還來，李迪俊，許紹昌，李能梗，鄺達，時昭瀛，李芹根，鄭達洪，杜新，繆通，蔣家棟，李琴，陶孝完，厲鼎元，余中天，伍伯勝，俞培均，陳元屏,緬甸-仰光，馬來西亞-吉隆坡，印尼-巨港，印尼-棉蘭，印尼-坤甸，南非-約翰尼斯堡，馬來西亞-山打根，馬來西亞-亞庇，印尼-巴達維亞，新加坡，印尼-檳港，馬來西亞-檳榔嶼,020000000312A020-010502-0007,文件,馬來亞華僑教育，巫人排華，民主同盟，華僑復業貸金，僑務
民主同盟,暹羅（泰國）中華總商會改選（二）,020-010408-0090,020,外交部,外交部/ 亞東太平洋司 / 泰國 / 僑務,暹羅（泰國）中華總商會改選（二）,,1947/12/06,1948/04/17,普通 / 外交部98年2月17日外檔資一字第09801013150號函註銷密等,普通 / 外交部98年2月17日外檔資一字第09801013150號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,020000000855A,020-010408-0090,020000000855A,關於駐曼谷總領事館宣部暹羅中華總商會非法改選案無效事，僑務委員會召開商討暹羅中華總商會改選問題會議紀錄由，處理暹羅中華總商會改選糾紛案經過情形由等,暹羅（泰國）中華總商會改選（二）,1947/12/06 ~ 1948/04/17,1947民國36年,外交部/亞東太平洋司/泰國/僑務,020000000855A020-010408-0090,李鐵錚，劉師舜，葉公超，孫秉乾，王世杰，黃正銘，黃鐵錚，張蘭臣，蟻美厚，陳宗光，盧蔚民，郭基宏，許宜陶，陳懷天，許元雄，陳鏞鏘，黃聲，蔣中正，陳玉符，劉維熾，甘澐，蕭吉珊，汪仲讓，林伯歧，蕭個珊，陳振敏，金炎春,泰國-曼谷，上海,020000000855A020-010408-0090,文件,僑務委員會，民主同盟，修改商會章程，商會個人會員，當選執監委員名單，駐暹羅大使館，報德善堂
民主同盟; 張瀾; 沈鈞儒; 章伯鈞; 政治協商會議,中共動態及國共談判重要文獻,020-050212-0002,020,外交部,外交部/ 北美司 / 美國 / 國際共黨活動與中共動態,中共動態及國共談判重要文獻,,1945/10/28,1952/03/17,普通 / 外交部98年3月31日外檔資一字第09837001700號函註銷密等,普通 / 外交部98年3月31日外檔資一字第09837001700號函註銷密等,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,,020000002656A,020-050212-0002,020000002656A,中共動態與情報摘要彙編，中共在山東占據各縣情形、國民政府公開政治協商會議辦法、國民政府代表與中共代表商定停止國內軍事衝突辦法、國共停戰協定、停止衝突備忘錄等國共談判重要文獻，參加泛亞會議代表團人員與經費事宜，英美法蘇調停國共戰爭相關文電等,中共動態及國共談判重要文獻,1945/10/28 ~ 1952/03/17,1945民國34年,外交部/北美司/美國/國際共黨活動與中共動態,020000002656A020-050212-0002,熊天翼，蔣中正，李章達，陳毅，裴鳴宇，賈慕夷，王世杰，周恩來，董必武，鄭介民，白崇禧，滕代遠，申伯純，黃華，George Catlett Marshall(馬歇爾)，張治中，張羣，邵力子，鄭忠華，王懋功，牛作善，彭復中，魏道明，王若飛，顧維鈞，孫科，吳鐵城，陳立夫，蔣夢麟，曾琦，陳啟天，張君勱，張瀾，黃炎培，章伯鈞，沈鈞儒，王雲五，傅斯年，于斌，陳布雷，Harry S. Truman(杜魯門)，宋子文，周至柔，Robert L. Smyth，陳國廉，胡世勳，郭泰祺，朱世明，周書楷，葉公超，葉劍英，劉鍇，何應欽，James F. Byrnes，甘乃光，鄭彥棻，溫源寧，戴傳賢，沈宗濂，胡慶育，時昭瀛，潘蕃蓀，John Leighton Stuart(司徒雷登)，段茂瀾，淩其翰，Jacques Meyrier(梅理靄),遼寧-錦州，上海，河北-張家口，廣州，重慶，南京，北平，新疆-迪化，陝西-延安，江蘇-淮安，法國-巴黎，美國-紐約，日本-東京，美國-檀香山，臺北,020000002656A020-050212-0002,文件,天主教會，民主同盟，西北人民自治協進會，中華民國進步社會黨，共軍破壞鐵路要報表，政治協商會議秘書處，國民政府文官處，山東省臨時參議會，巴黎和會，國防部，馬歇爾調停，滿州，中央通訊社，大公報，國民大會，美國軍事顧問協定草案審查會議，全國公私財產直接損失統計表，外交部駐滬辦事處，駐聯合國代表辦事處，開羅會議，琉球群島，美國國務院，聯合國大會，伊朗，希臘，中國國民黨中央執行委員會秘書處，駐美國大使館，駐法國大使館
民主同盟,上伏塔（布吉納法索）慶弔,020-101700-0001,020,外交部,外交部/ 禮賓司 / 外國慶弔 /,上伏塔（布吉納法索）慶弔,,1960/08/02,1971/03/25,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,020000005559A,020-101700-0001,020000005559A,總統蔣中正致電祝賀上伏塔共和國獨立、一九六０年至一九七一年國慶、上伏塔總統Maurice Yamiogo（亞默可）當選連任及壽辰婚禮、上伏塔總理Kango Gerard Ouedraogo（魏德拉果）任命事等相關電文，駐上伏塔大使館呈報外交部上伏塔總統婚禮慶典情形,上伏塔（布吉納法索）慶弔,1960/08/02 ~ 1971/03/25,1960民國49年,外交部/禮賓司/外國慶弔/,020000005559A020-101700-0001,唐振楚，陳雄飛，沈昌煥，王之珍，顧毓瑞，朱撫松，周書楷，楊西崑，芮正皋，夏功權，沈錡，龔政定，龔駿，符滌泉，Sangoule Lamizana(拉米薩納)，魏道明，Malick Zorome(左羅美)，沈劍虹，蔡維屏，吳文輝，徐懋禧，嚴家淦，蔣中正，Maurice Yamiogo（亞默可），Kango Gerard Ouedraogo（魏德拉果）,臺北，上伏塔-瓦加杜古,020000005559A020-101700-0001,文件,總統府，法國，尼日，象牙海岸，非洲民主同盟(RDA)，非洲元首會議，迦納，國家開發銀行，塞內加爾，行政院秘書處
民主同盟,象牙海岸人士訪華,020-101200-0056,020,外交部,外交部/ 禮賓司 / 非洲人士訪華 /,象牙海岸人士訪華,,1962/07/04,1963/08/19,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,尚未查核,申請閱覽 (尚未檢視),申請閱覽 (尚未檢視),已數位化,,020000005768A,020-101200-0056,020000005768A,關於象牙海岸農業暨合作部部長Charles Donwahi(唐華儀)率領友好訪問團來華參觀我稻米生產等農業建設暨與我簽訂農業技術合作協定事，象牙海岸總統伍弗布尼遴派新聞部部長Amadou Thiam(狄安)率領友好訪問團來華訪問加強中象兩國初建交之友好及合作關係事,象牙海岸人士訪華,1962/07/04 ~ 1963/08/19,1962民國51年,外交部/禮賓司/非洲人士訪華/,020000005768A020-101200-0056,陳雄飛，高士銘，羅明元，谷正綱，王雲五，沈劍虹，蔣中正，楊繼曾，沈宗瀚，顧毓瑞，曾憲揆，吳祖禹，張慶衍，沈昌煥，蔡元，馮正忠，汪公紀，馬聯芳，吳文輝，唐振楚，朱撫松，曾虛白，李國鼎，徐懋禧，徐家裴，王撫洲，王季徵，Kodjo Konian(柯克諾)，張羣，Loubou Djessou(簡蘇)，王嗣佑，徐柏園，張心洽，賴名湯，Charles Donwahi(唐華儀)，伍弗布尼，Amadou Thiam(狄安),法國-巴黎，日本-東京，香港，臺灣-桃園，臺灣-臺南，臺灣-臺中，福建-金門，高雄，臺北,020000005768A020-101200-0056,文件,宴會菜單，臺北賓館，象牙海岸友好訪問團，非洲民主同盟指導委員會委員，亞洲人民反共同盟委員會，行政院，經濟部，婦聯會，華興育幼院，新聞局，農復會，總統府，交通部，立法院，法國大使館，中央日報，日本大使館，手工業中心
民主同盟,中國國民黨第十一屆中央委員會常務委員會會議議程及會議紀錄（十七）,020-130600-0031,020,外交部,外交部/ 秘書處 / 黨政關係 /,中國國民黨第十一屆中央委員會常務委員會會議議程及會議紀錄（十七）,,1979/06/06,1979/06/13,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,,020000012292A,020-130600-0031,020000012292A,中國國民黨第十一屆中央委員會常務委員會第一二三次及第一二四次會議議程及檢附之會議資料：中國國民黨第十一屆中央委員會常務委員會第一二二次會議紀錄（附訪問歐洲僑社及留學生工作報告、經濟建設報告等）、重要敵情彙報第三六四至三六六號、海外僑情輯要第三四二至三四四期、出席世盟第十二屆大會暨世青盟第九屆大會報告,中國國民黨第十一屆中央委員會常務委員會會議議程及會議紀錄（十七）,1979/06/06 ~ 1979/06/13,1979民國68年,外交部/秘書處/黨政關係/,020000012292A020-130600-0031,郭哲，嚴家淦，谷正綱，謝東閔，黃少谷，張其昀，黃杰，倪文亞，袁守謙，宋長志，孫運璿，蔣彥士，沈昌煥，鄭彥棻，費驊，徐慶鐘，張寶樹，梁子衡，陳履安，白萬祥，許水德，錢劍秋，俞國華，秦孝儀，谷鳳翔，閻振興，馬紀壯，瞿紹華，林洋港，宋楚瑜，李國鼎,臺北,020000012292A020-130600-0031,文件,革命實踐研究院，四川民主同盟組織，社會主義工人黨，多倫多中華文化藝術協進中心，東南亞國家協會，世界反共聯盟
民主同盟,外交部重要方案七十三年度執行進度表及進度檢討表（八）,020-180300-0016,020,外交部,外交部/ 研究設計委員會 / 重要方案 /,外交部重要方案七十三年度執行進度表及進度檢討表（八）,,1984/07/02,1984/09/00,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,,020000012891A,020-180300-0016,020000012891A,民國七十三年一月至六月對歐工作方案實施計畫執行進度報告及進度檢討表，七十三年一月至六月對非洲地區工作方案實施計畫進度表,外交部重要方案七十三年度執行進度表及進度檢討表（八）,1984/07/02 ~ 1984/09/00,1984民國73年,外交部/研究設計委員會/重要方案/,020000012891A020-180300-0016,路培基，鄭為元，李崇道，于建民，劉兆田，陳履安，谷正綱，張光世，曹嶽維，辜振甫，傅韓，孔德成，金克和，Van Aerssen(房艾生)，黎志文，蔣復璁，雷根，趙紫陽，蔣經國，李登輝，李顯，范史光，于豪章，胡志強，張京育，楊添貴，陳蘭鈞，王立中，孟慶復，張瑞帆，Derek Von Wissel(范威瑟)，李卓顯，吳慶源，林敏雄，張俊彥，龍村倪，張天鴻，白壽雄，劉克智，張明正，孫得雄，劉松藩，蔣仲苓，蕭萬長，方賢齊，李元簇，吉承俠，全耀華，林世芬，韋杜森,臺北，法國-巴黎，法國-史特拉斯堡，瑞典-斯德哥爾摩，荷蘭-阿姆斯特丹，西班牙-馬德里，丹麥-哥本哈根，比利時-布魯塞爾，法國-里昂，德國-慕尼黑，南非-開普敦，高雄，南非-約翰尼斯堡,020000012891A020-180300-0016,文件,行政院對外工作會報執行小組，三民主義統一中國大同盟，歐洲統合運動，中華航空公司，經濟部，財政部，行政院國科會，行政院新局，國防部，教育部，青輔會，政大國際關係研究中心，僑務委員會，國家安全局，中國國民黨中央委員會海外工作會，交通部，大華公司，法國，荷蘭，英國，西班牙，挪威，盧森堡，丹麥，奧地利瑞典，義大利，西德，歐洲理事會，歐洲議會，比利時，歐洲共同體，國際原子能總署，國際民主同盟，國際議員聯合會，義華友協，第一銀行，法國新聞週刊，外貿協會，中鋼公司，臺電公司，中油公司，臺鋁公司，中華工程公司，中化公司，臺灣金屬礦業公司，臺鹽總廠，臺機公司，大同公司，行政院力行小組，晨報(法國)，時代週報(德國)，國家因報(西班牙)，荷蘭先鋒雜誌，玩中國牌，雪菲爾大學，光華畫報，歐洲中山學會，陽明海運公司，中國航運公司，長榮海運公司，太平洋旅遊協會(PATA)，紡織品，中央信託局，劍龍案，退除役官兵輔導會，駐南非大使館，駐史瓦濟蘭大使館，駐馬拉威大使館，駐利比亞商務辦事處，南非共和國，馬拉威，史瓦濟蘭，幾內亞，模里西斯，薩伊，奈及利亞，駐外農耕隊，農技團，埃及，鈾，核能發電，蒲隆地，納，綠角群島，榮民總醫院
民主同盟,外交部重要方案七十二年度執行進度表及進度檢討表（三）,020-180300-0006,020,外交部,外交部/ 研究設計委員會 / 重要方案 /,外交部重要方案七十二年度執行進度表及進度檢討表（三）,,1983/12/00,1983/12/00,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,,020000012898A,020-180300-0006,020000012898A,七十二年度對中南美地區、中東地區工作方案七十二年一至六月實施計畫進度檢討表及七十二年度對美工作方案實施計畫執行進度表（七十二年一至六月）,外交部重要方案七十二年度執行進度表及進度檢討表（三）,1983/12/00 ~ 1983/12/00,1983民國72年,外交部/研究設計委員會/重要方案/,020000012898A020-180300-0006,許子秋，李模，陶子厚，谷正綱，蔡維屏，杭立武，雷根，George Pratt Shultz(舒茲)，莊萊德，陳履安，蘇貞，許世賢，許榮淑，周清玉，郭雨新，李哲夫，林義雄，高俊明，姚嘉文，王桂榮，陳兆熙，王曉祥，張敏智，李南陽，白雲峰，蔣經國，吳榮根，孫運璿，賴大衛,多明尼加-聖多明哥，哥斯大黎加-聖約瑟，臺北，高雄，美國-舊金山，美國-華盛頓，美國-檀香山,020000012898A020-180300-0006,文件,聖文森，多明尼克，聖露西亞，祕魯，智利，阿根廷，巴西，哥倫比亞，厄瓜多，哥斯大黎加，烏拉圭，瓜地馬拉，行政院對外工作會報，中央銀行，薩爾瓦多，玻利維亞，新華社，國防部，墨西哥，宏都拉斯，巴貝多，中央社，三民主義大同盟，巴拿馬，自由中國評論，光華畫報，沙烏地阿拉伯，約旦，黎巴嫩，阿拉伯聯合大公國，駐外農技團，土耳其，科威特，行政院國科會，經濟部，朱拜爾肥料公司，臺電公司，阿聯大公國杜拜商會，外貿協會，中油公司，海外石油及投資公司，行政院新聞局，世界日報(土耳其)，晨報(土耳其)，太陽日報(土耳其)，觀察日報(阿曼)，中華民國畫冊，半島日報，內政部，中國回教協會，清真寺，伊朗，海光週報，中華航空公司，國家安全局，輿光案，大鵬案，大漠案，遠朋班，吉達醫院，霍埠醫院，行政院衛生署，外交部北美司，臺灣關係法，亞銀會籍，姊妹州市，姊妹盟誼，優惠關稅，貿易順差，經濟部國貿局，臺獨，臺灣同鄉聯誼會，青輔會，國建會聯誼組織年會，臺灣民主同盟，臺美基金會，中國之春，三民主義統一中國運動，交通部電信總局，美國國際電話電報世界通信公司(ITT)，美國環球無線電通信公司(RCA)，陽明海運公司，胡娜事件，六義士案，泛美航空，中國牌，自由中國之聲
民主同盟,賀行政院長蔣經國當選第六任總統（二）,020-101600-0143,020,外交部,外交部/ 禮賓司 / 我國慶弔 /,賀行政院長{#蔣經國#}當選第六任總統（二）,,1978/03/22,1978/07/14,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,普通 / 外交部106年7月6日外資電史字第10637510680號函註銷密等,無隱私,數位檔／臺北閱覽室,數位檔／臺北閱覽室,已數位化,,020000014126A,020-101600-0143,020000014126A,美國總統卡特、美國眾議員、美國新罕普夏州州長、多明尼加總統Joaquin Balaguer（巴拉格）等友邦及各國友我人士祝賀行政院院長蔣經國當選第六任總統、臺灣省省主席{謝東閔當選第六任副總統函電及我復謝賀電賀函稿,賀行政院長蔣經國當選第六任總統（二）,1978/03/22 ~ 1978/07/14,1978民國67年,外交部/禮賓司/我國慶弔/,020000014126A020-101600-0143,沈昌煥，金樹基，陳毓駒，劉邦彥，黃秀日，李宇中，秦震宇，章孝嚴，沈劍虹，錢復，張永恆，楊榮藻，羅致遠，王海濱，楊卓膺，王祖德，傅在緯，胡光宇，柯士勇，董國猷，歐陽璜，胡為真，楊西崑，桂宗堯，林基正，黃嘉祥，練日扶，吳仁修，方海鶯，藍智民，王小芳，談崑，郭永樑，吳文輝，石定，周成竹，馮燿曾，翁廷龍，蔡顯榮，朴正熙，Ace F. Trask，Agustin Donis-Kestler(杜尼詩)，Alfonso Lopez Michelsen(羅貝斯)，Alfredo Lamaison Sra.(賴梅松)，Alfredo Stroessner(史托斯納爾)，Alvaro Ernesto Martinez(馬丁內斯)，Anastasio Somoza Debayle(蘇慕薩)，Anthony Yen，Arnaldo Saucedo Phsanchez(邵賽多)，Aydin I. Gunduz，Barry Goldwater(高華德)，Bert Fraleigh，Carlos Enrique Laidlaw(賴依魯)，Cesar Mossi Sorto(莫西)，Charles B. Wheeler，Charles Royer，Claude H. Curtis，Cyril Clemens，Dalton Ritchie Smith，David K. Jordan(卓登)，David Woodward，Del Casino，Dixy Lee Ray，Donald O. Webster，Edgar Arturo Lopez Calvo(羅培士)，Edgar Sanchez(桑傑士)，Edison Bouchaton(布俠東)，Edmundo Lopez Gomez(羅培茲)，Eileen Nixon，Everett F. Drumright(莊萊德)，F. Sattori Ribera(薩多利)，Flavio Marcilio(馬西里奧)，Frank F. Fasi(法西)，Franz Michael，George H. Humphreys(韓富瑞)，George R. Ariyoshi，Guy l. Smith，Harold Reigelman(瑞格曼)，Henry Kearns(克恩斯)，Hiram L. Fong(鄺友良)，Hwei0lan Swen，J. Bach，James B. Linder，James Y. Mochizuki，Jean Claude Duvalier(杜華利)，Joason Boe，John A. Cherberg，John D. Spellman，Jose A. Quezada T.(蓋薩達)，Joseph Charles Elia，Juan Luis，Karl L. Rankin(藍欽)，Kjell Eugenio Laugerud Garcia(勞赫儒)，Lee Koeng(李強)，Leonard Unger，Luis Angel Cardenas(賈德納斯)，Meldrim Thomson Jr.，Michael A. Bilandic(畢蘭德)，Milford E. Shields，Peter T. Coleman，Rados Stevlich(史提夫理希)，Ramon Emilio Jimenez Reyes(希米奈斯)，Randy Tyree，Ray S. Cline(克萊恩)，Ricardo Garcia Leclair(葛西亞)，Richard C. Lamb，Robert B. Duncan，Robert K. Dornan，Robert W. Straub，Ronald Yeng，Schuyler E. Tallman，Thomas L. Judge，Timoteo Alvarenga(阿爾瓦林格)，Walter Ravenna(拉維那)，Wayne M. Hoffman，William M. Tapia A.，卡特，Joaquin Balaguer（巴拉格），蔣經國,臺北，美國-芝加哥，哥倫比亞-巴蘭幾亞,020000014126A020-101600-0143,文件,駐美大使館，駐芝加哥總領事館，駐紐約總領事館，駐瓜地馬拉大使館，駐哥倫比亞大使館，哥倫比亞外交部，駐烏拉圭大使館，駐哥斯大黎加大使館，駐聖泰克魯斯總領事館，駐海地大使館，臺灣省政府外事室，行政院新聞局，中國時報，中央日報，青年戰士報，中國郵報，中華民國之友社，阿根廷各界民主同盟，阿根廷全國反馬克斯運動
