page_id,doc_key,grade,date_guess,page_label,title,source_text,zh_translation
241,frus1946v10/d272,相关文献,"November 12, 1946",,The Ambassador in China (Stuart) to the Secretary of State,"893.00/11–1246: Telegram [Document 272] The Ambassador in China ( Stuart ) to the Secretary of State Nanking , November 12, 1946—4 p.m. [Received November 12—6 a.m.] 1859. On the evening of November 10, I saw the Generalissimo and at his request conveyed thereafter to the leaders of the minority groups a message from him to the effect that he was prepared to consider a postponement of the assembly if within the next 24 hours they would hand in the names of their delegates. The next afternoon a group of minority party leaders including Hu Lin 15 had an interview with the Generalissimo in which they assured him the names would probably be supplied if he would postpone the assembly a few days. He finally decided to announce a postponement of 3 days and the invitations issued yesterday afternoon were recalled last night. General Marshall’s Three Man Committee met informally for 2 hours yesterday morning, the only result being that Chou En-lai agreed to seek instructions from Yenan and himself to give careful consideration to an issue in which the military could not be divorced from the political aspects. Underlying the interchanges of the past 10 days has been the maneuver on the part of the Government to obtain the participation of the Democratic League and the Youth parties in the National Assembly as a possible first step toward winning the Communists also, and contrary-wise the strenuous efforts on the part of the Communists led by Chou En-lai to keep these parties within their orbit. The expectation is that the Youth Party will hand in at least a partial list of their delegates today and will attend the National Assembly which convenes but that the Democratic League will be split on the issue. Stuart 15 Editor, Ta Kung Pao .",
248,frus1946v10/d285,相关文献,"November 19, 1946",,"Notes on Meeting Between General Marshall and Professors Lo Chung-shu, Wu Chi-yu, and Professor Yi at General Marshall’s Residence, Nanking, November 19, 1946, 11 a.m.","Marshall Mission Files, Lot 54–D270 [Document 285] Notes on Meeting Between General Marshall and Professors Lo Chung-shu, Wu Chi-yu, and Professor Yi at General Marshall’s Residence, Nanking, November 19, 1946, 11 a.m. Nanking, November 19, 1946, 11 a.m. Professor Lo expressed the opinion that all the liberal elements must join together and have an established organ to express their ideas. This organ could serve the purpose of working up public opinion, and give the people hope for a true democratic life. General Marshall commented that some organization must be established quickly in order to serve as a balancing power between the Kuomintang and the Communist Parties. Further delay in meeting the political situation would mean disaster for the entire people of China. General Marshall said that although the cultural elevation of the people of China is very important, it will be a lengthy procedure. General Marshall emphasized the urgent need of a party to offset the one-party domination of China. He further pointed out that the Communist Party must be handled politically instead of by force. General Marshall mentioned the importance of all liberals joining together to form an ever-growing organization. The idea of this organization would be to prevent either the Communist Party or the Kuomintang from persisting in wrong-doing. General Marshall frankly pointed out that the university professors cannot produce the tactical leaders for such an organization, and that such leadership must be furnished by liberals of political experience. He also suggested that these liberal elements should join together as an informal group instead of as another political party because he felt that if a new party should be created at the present moment, it would only add more complications to the situation. Professor Wu asked if it would be possible to put the Communist Party back into a qualified position as the opposition party to the Kuomintang. General Marshall stated that in China today the military leaders are in the saddle. They are opposing all conciliatory actions proposed by the Government. Professor Wu then asked to what extent the attitude of the Communist Party had been influenced by Soviet Russia. General Marshall replied that the Russian action so far as he knew had only been of negative character. However, the Kuomintang’s policy of force invites Russian intervention. Professor Wu further asked if Soviet Russia and the United States reached a better understanding, would the negotiations between the Communist Party and the Kuomintang be accelerated. General Marshall replied that the two are related. The Kuomintang has always accused the Communist Party of allegiance to Soviet Russia and the Russians are very sympathetic toward the Chinese Communists. Moreover General Chou En Lai always felt resentful when the Chinese Communist Party was accused of being merely an agrarian movement. Professor Wu then asked if it was consistent for the Kuomintang leaders to carry out a military campaign since they would have to rely on the United States for assistance. General Marshall stated that the United States Government would not support the Kuomintang in a campaign of force. He said that prior to August of this year the Government distrust of the Communist Party predominated. However, today the Communist Party does not place any trust whatever in any proposals of the Government. Professor Wu commented that lack of mutual trust between Kuomintang and the Communist Party was due to historical hatred which can be traced back to the revolutionary days of 1923. The high officials in the Government, including the Generalissimo, are highly suspicious toward anyone outside of their own party. Therefore, there is no common ground for the Kuomintang and the Communist Party to come together. At the present time Professor Wu does not see any neutral party that can act as a mediator. The real need today is for a genuine third party, unlike the Democratic League or the Young China Party. Professor Lo then asked whether it is possible for a third party to balance the situation between the opposing parties. General Marshall replied affirmatively and cited the Executive Headquarters as an example. He said the American members in the Executive Headquarters and its field teams served as a third party and they have served as a balancing of military power between the Kuomintang and the Communist members. Professor Wu then said the liberal elements of many countries in Europe have been able to emerge and reform their governments due to the presence of external forces. In China such external forces are lacking. Can Chinese liberal elements bring about a social reform without the pressure from the powers outside? General Marshall replied that he thought they could.",
250,frus1946v10/d300,相关文献,"November 29, 1946",,The Ambassador in China (Stuart) to the Secretary of State,"893.00/11–2946: Telegram [Document 300] The Ambassador in China ( Stuart ) to the Secretary of State Nanking , November 29, 1946. [Received November 29—3:59 p.m.] 1998. Summary regular weekly press conference Minister [of] Information Peng Hsueh Pei 27th follows: Denied National Assembly one party affair and quoted following statistics on delegates: Of 1744 delegates registered, 847 or 48 percent Independents, 725 or 42 percent Kuomintang and balance 10 percent divided with 118 Young China Party and 54 Social Democrats. Defined Independents as those elected by provinces and professional organizations and not by Kuomintang Party. “This demonstrates that three of the four groups which held original Assembly meetings in 1938 are participating today while similarly of the five groups represented in last January’s political consultative conference (Kuomintang, Communists, Democratic League, Youth Party and non-partisans) all except Communists and part of the Democratic League are seated in National Assembly.” Queried about criticism that Government has broken PCC resolutions, Peng said “best answer that criticism [is] draft constitution which carries out PCC resolutions.” John C. Wu, China’s Minister to Vatican and one of authors of new draft constitution, spoke briefly on document, saying it contained some best features of United States and English constitutions as well as some typically Chinese sections. Suggestions of members of minority parties given heavy consideration in writing constitution and some of its most vital articles contributed by such minority leaders as Carsun Chang. Entire constitution written with the view that it is more democratic to yield than to deny suggestions by the minority parties. President given power mediate disputes between yuans which was not included in PCC draft because of the necessity have some authority settle disputes between heads of various yuans. Draft constitution gives local governments greater powers and makes Executive Yuan responsible in certain matters to Legislative Yuan. In general, draft presented Assembly follows closely provisions suggested by PCC draft constitution committee. Stuart",
251,frus1946v10/d303,相关文献,"December 1, 1946",,"Minutes of Meeting Between General Marshall and Mr. Butterworth at General Marshall’s Residence, Nanking, December 1, 1946, 11 a.m.","Marshall Mission Files, Lot 54–D270 [Document 303] Minutes of Meeting Between General Marshall and Mr. Butterworth at General Marshall’s Residence, Nanking, December 1, 1946, 11 a.m. Nanking, December 1, 1946, 11 a.m. General Marshall opened the meeting by stating he was to see the Generalissimo and that he felt the reason for the Generalissimo’s request for such a meeting would concern, or would have as a basis, the new Constitution. Mister Butterworth stated that he and the Embassy people present had been discussing this matter previously in the morning, and agree in general that the new Constitution is based on PCC resolutions, is democratic, and should be adaptable to China’s need; but he added that no Constitution, however good, is worth very much unless the people who are responsible for its promulgation are themselves democratic-minded and true servants of the people. Mister Ludden injected the thought that probably the most important single step toward democracy for China is to get the “party hands out of the public coffers” and stated that while enforcement of this policy would cause “a terrific uproar”, such an enforcement could, itself, be a basis for the creation of a new minor party (consisting mainly of those evicted because of enforcement of the policy) with a leveling influence. General Marshall stated that he was relieved to know that Mister Butterworth had no particular points he wished him (General Marshall) to take up with the Generalissimo in this connection, and stated that he would assume there is nothing in the Constitution which he should contest. General Marshall then asked Mr. Butterworth what his views were with reference to General Marshall’s continued negotiating. For instance, General Marshall mentioned that various liberal members of the Government might proceed to Yenan, thus indicating good intentions on the part of the Government, to invite the Communists to participate in the new Government. General Marshall also mentioned certain specific acts which might indicate good faith on the part of the Government, such as fixing the number of seats in the State Council at 9 for the Communists and 4 for the Democratic League; and moving for adjustments toward reorganizing the Executive Yuan, including Communist membership. (At this point there ensued a discussion on the organization of the Ministries within the Executive Yuan and a discussion as to which posts Communists might logically hold, such as Communications, and Agriculture and Forestry). General Marshall then stated that upon General Chou’s departure, he had promised to find out from the CCP specifically whether or not it wished him to continue in mediation, and added that no reply had been received. He asked Mr. Butterworth’s opinion as to what he (General Marshall) should do. Mr. Butterworth stated that his instinct is against forcing a reply from the Communists since the reply probably would be negative and since, under those circumstances, there would be no recourse other than General Marshall’s departure from China. General Marshall mentioned that should he leave China, Dr. Stuart would continue as Ambassador, and Executive Headquarters remain in existence, and asked what effect his leaving might have on the general situation.",
252,frus1946v10/d303,相关文献,"December 1, 1946",575,"Minutes of Meeting Between General Marshall and Mr. Butterworth at General Marshall’s Residence, Nanking, December 1, 1946, 11 a.m.","Mr. Butterworth said General Marshall’s presence in China was a desirable restraining influence on the Government. Mr. Butterworth added that he felt General Marshall’s departure would be catastrophic, and in view of Dr. Stuart’s inclinations, would cause the United States, as far as its policy is concerned, to drift toward full support of the National Government. General Marshall pointed out that his role in China could be interpreted by many, particularly the reactionary group in the Kmt, as an undesirable necessity since by keeping him continually in the picture the Government reactionaries could continue their undemocratic practices and military campaigns under the guise of willingness to negotiate. He added that this places him in a position which could compromise the United States policy. 82 Raymond P. Ludden, Second Secretary of Embassy. 83 John F. Melby, Second Secretary of Embassy. 84 Philip D. Sprouse, Second Secretary of Embassy.",
256,frus1946v10/d316,相关文献,"December 7, 1946",,"Notes on Meeting Between General Marshall and General C. P. Lee at No. 5 Ning Hai Road, Nanking, December 7, 1946, 11 a.m.","Marshall Mission Files, Lot 54–D270 [Document 316] Notes on Meeting Between General Marshall and General C. P. Lee at No. 5 Ning Hai Road, Nanking, December 7, 1946, 11 a.m. Nanking, December 7, 1946, 11 a.m. General Lee told General Marshall that he had called on Mr. Tung Pi-wu yesterday morning. He considered there are two possible approaches to the present situation. One is a meeting between General Marshall and Mr. Tung Pi-wu during which General Marshall would inform Mr. Tung that the message from General Chou En-lai had been transmitted to the Generalissimo. Then, a free discussion of the current situation could follow. The other is for the Generalissimo to retire from public life since he had already done enough for his country. This would definitely improve the overall atmosphere for negotiations and cause the Communist Party to change its attitude. General Lee also mentioned Governor Chang Chun, 3 Mr. Mo Te-hui and Dr. Sun Fo as possible candidates for the Chief of State. General Marshall said that notification to Mr. Tung of the transmittal of General Chou’s letter to the Generalissimo was unnecessary since both sides had released the letter to the press. General Marshall added, however, that the press might twist things since interpretation recently by the press of the 4,000-word extract of the General Chou minutes was incorrect; the extract of minutes merely contained General Chou’s reason for returning to Yenan. General Marshall then deplored current Communist propaganda which is only serving to crystallize American policy to total support of the Chinese National Government. This propaganda also tends to encourage the reactionary clique and the militarists in the Government, thus making them more and more difficult to handle. General Lee suggested a counter-propaganda campaign. General Marshall saw no advantage in this course. The basic question was to determine the reasons behind the Communist propaganda. General Marshall then said his chief interest concerned whether the reactionaries were going to wreck the PCC constitution which is now before the National Assembly. General Lee then said that yesterday he had seen Dr. Lo Lung-chi who expressed the opinion that General Marshall was generally accepted by the Chinese people as their savior when he first came to China. However, later, the Communists believed that General Marshall was partial to the Government and consequently lost faith in his mediation. Dr. Lo felt that if General Marshall had pressed the Kuomintang to agree to a coalition government, the situation today would not be so difficult. General Lee then commented that the draft constitution now being discussed in the National Assembly is in accordance with the PCC resolutions and that it is a better one than that drafted by Mr. Carson Chang of the Democratic League. General Lee suggested that if the National Assembly would dispatch a delegation to Yenan, the Communists might be persuaded to resume negotiations. General Marshall asked General Lee whether the Communists would still trust Dr. Stuart. General Lee stated that in the opinion of the Communists both General Marshall and Dr. Stuart were being sacrificed by the U. S. Government through its China policy. He believed that if General Marshall and Dr. Stuart were to press the Government to accept the Communist terms, meaning a coalition government, the Communists would be willing to reopen negotiations. General Lee then suggested that either a discussion should be held between General Marshall and Mr. Tung Pi-wu or General Marshall should make a trip to Yenan. General Marshall said that he would wait the passage of the Constitution in the National Assembly. He feels that at present the American mediators are in no position to take any steps. 3 Governor of Szechuan.",
267,frus1946v10/d355,相关文献,"December 31, 1946",,The Ambassador in China (Stuart) to the Secretary of State,"893.00/12–3146: Telegram [Document 355] The Ambassador in China ( Stuart ) to the Secretary of State Nanking , December 31, 1946. [Received December 31—6:52 a.m.] 2212. Summary [of] remarks by Minister of Information Peng Hsueh Pei at weekly press conference December 30th: Chinese Ministries for Information, Organization and Overseas Chinese Affairs will continue as Kmt Party units and not become official Government agencies with adoption [of] new constitution. Queried for clarification his own position, Peng replied, “I consider myself as spokesman of National Govt today but I don’t know what I will be next week”. Expenses of these three Ministries hereafter will be paid from Kmt funds entirely and not from Govt Treasury. Old provisional constitution still is valid until new constitution becomes effective next Christmas Day so that party officials will continue to exercise certain official functions until that time. Govt already has asked minority parties which were represented in National Assembly to share in reorganized Govt. Similar invitations will be extended to Communist Party and Democratic League “when and if they express signs of willingness to participate”. Young China Party and Social Democrats now holding meetings to decide on participation with Kmt in broadened National Govt. Not asked yet to submit their nominations for offices. Queried about press reports that Democratic League officials had been invited to go to Yenan for purpose of asking Communists to resume negotiations, Peng replied, “I have not heard of that”. Denied rumors of pending adjustment of official rate of exchange, declaring they were “absolutely unfounded”. Stuart",
268,frus1946v10/d356,相关文献,"December 31, 1946",,"Minutes of Meeting Between General Marshall and General C. P. Lee at No. 5 Ning Hai Road, Nanking, December 31, 11 a.m.","Marshall Mission Files, Lot 54–D270 [Document 356] Minutes of Meeting Between General Marshall and General C. P. Lee at No. 5 Ning Hai Road, Nanking, December 31, 11 a.m. Nanking, December 31, 1946, 11 a.m. General Lee stated that his trip to Shanghai had been delayed but that he would go there for the meetings of the minority parties. He stated that Mr. Mo Te-hui was also going and would want to talk to General Marshall upon his return to Nanking. General Marshall asked how strong the Democratic League was at present. General Lee described it as already the largest of the minority parties and steadily growing larger. He stated it would become the most popular of the minority parties and would attract the majority of the liberals. Accordingly, it would become the real balance between the CCP and the Kuomintang. General Lee asked for advice as to what he might do while in Shanghai to contribute to the solution of political problems. General Marshall stated that he still believed the only real hope of an immediate solution to China’s problems to be a complete coalition of the minority parties into a single liberal party under selfless patriotic leadership. General Lee replied that improvement in the situation depended to a large degree on the extent and manner of the rumored reorganization of the government. General Marshall replied that the type of reorganization to be obtained depended on the action of the minority parties. If these parties would join together into a single cohesive force working for the good of China, a real genuine reorganization of the government would probably follow. If the minority parties continued to operate individually, the reorganization quite possibly would be synthetic. General Marshall stated that a coalition of the minority parties would appeal to the Liberals in the government for it would provide articulate backing for their efforts. Coalition of the minority parties is inevitable; when it will come about constitutes the only question. China could well do with a few patriots among the minority parties who would place national good above private gain. General Lee stated that the National Government could contribute to the improvement of the present situation by getting rid of the CC clique. General Marshall emphasized that the Generalissimo could not force the ejection of the CC clique alone, all of which simply constituted another of the obvious arguments for a coalition of the minority parties. General Lee said that he understood that General Chang Chun would probably replace Mr. Wang Wen Hao as Vice-President of the Executive Yuan, and that Dr. Soong would remain as Premier. He also understood that the National Government now wishes to fight it out with the CCP. General Marshall felt that the CCP is also eager to settle the issue with force and that the CCP is banking on economic collapse in China before the government can achieve total military victory. General Lee believes that the National Government should start thorough-going reforms in the area south of the Yangtze River, where the Communist problem is negligible. He thought that perhaps the Government should place one minority party in control of each province, thereby bringing about a free and healthy competition in a democratic way among all parties. General Marshall’s only comment was that such an arrangement might not be practical. General Lee handed General Marshall a list of his own proposals for action to be taken by the government. General Marshall observed with disappointment that a coalition of the minority parties was the last point on the list, when actually it was foremost in importance. He then expressed his real doubt that anyone on the Chinese side understands exactly how a democracy works and how an opposition party operates. He was sure that the Generalissimo did not understand these points and he also doubted that General Lee understood them.",
269,frus1946v10/d356,相关文献,"December 31, 1946",669,"Minutes of Meeting Between General Marshall and General C. P. Lee at No. 5 Ning Hai Road, Nanking, December 31, 11 a.m.","General Lee stated that the liberals in the government were trying to organize themselves and to eject the CC clique. General Marshall stated that the liberals could not force the CC clique out of the government on their own. General Lee wondered if it could not be done, provided Dr. T. V. Soong became the leader of the movement. General Marshall replied negatively and again emphasized his continuing belief that the only solution lay in the coalition of the minority parties into a single liberal party which would back any progressive democratic measure.",
270,frus1946v10/d357,相关文献,"December 31, 1946",,"Minutes of Meeting Between General Marshall, Professor Wu Chi-yu, and Mr. Sun Tan-lin at No. 5 Ning Hal Road, Nanking, December 31, 1946, 5:30 p.m.","Marshall Mission Files, Lot 54–D270 [Document 357] Minutes of Meeting Between General Marshall, Professor Wu Chi-yu, and Mr. Sun Tan-lin at No. 5 Ning Hal Road, Nanking, December 31, 1946, 5:30 p.m. Nanking, December 31, 1946, 5:30 p.m. Professor Wu, interpreting for Mr. Sun, said that Mr. Sun was once the Minister of Interior, a close friend of Mr. Wu Pei Fu. 45 Mr. Sun is strictly non-party and has the highest respect for the people of China. He would like to have an opinion from General Marshall on the future of China. General Marshall said that he had seldom seen any government officials except the Generalissimo, Dr. T. V. Soong, Dr. Wang, General Yu Ta-wei, and the Madame frequently but on social matters usually; that most of his contacts actually had been with General Chou En-lai. General Marshall said he had seen the Democratic League members several times and many of the non-party members including businessmen, professors, publishers; particularly the last two. General Marshall stated that the reactionaries in the government had opposed his efforts throughout and that he was now convinced that the solution for a representative form of government in China is to bring to the fore the liberal elements in a single party as a force for clean government. General Marshall stated that this effort would first have to be made on the Government side with the ultimate objective of bringing into the Government, Communist liberal elements after the Communists had been convinced of the Government’s intention to enter into true democratic processes. Mr. Sun said that all parties, whether they be Government parties or Communist parties, are enemies of the people: that bringing together the liberal elements within all factions is absolutely sound but that he was very skeptical as to the feasibility of this plan under the double pressure from the Kmt and CCP sides. General Marshall admitted that it would be a very difficult problem and that the idea would be impossible of accomplishment without the indirect support of the Generalissimo. General Marshall elaborated on his liberalization idea by telling Mr. Sun that what he visualized was a strong third party steering group consisting of selected non-party members and that this group would be augmented then with two liberal members from each of the various third parties. This small organization would have a very simple platform and it would have as its objective the backing of whatever appeared good government. General Marshall added that this organization should gradually knit together all of the liberal elements in China into an effective force. Mr. Sun agreed fully to the need of a coalition of the minor parties, but he still doubted the feasibility of the plan for two reasons; 1) the minor parties have no root in the people of China and therefore would have no support or power; 2) even if the minor parties would abide by Western standards of party participation, the movement could not develop under the Generalissimo’s reactionaries and besides the CCP would think it was just another “tail” of the Kmt. Therefore, the minor party coalition could not command confidence of either side. At this point General Marshall asked Mr. Sun what the alternative might be. Mr. Sun said that two conditions must be fulfilled and that these are good leadership and leadership backed with a real force. Mr. Sun added that the three men previously mentioned by General Marshall as possible leaders of the steering group (Mr. Mo Te-hui, Hu Lin, and Hu Shih) were personal friends of his, but that these individuals have no force and the people would not follow them. General Marshall then asked Mr. Sun what he proposed. Mr. Sun said that the leadership for a coalition non-party group was most difficult; that Dr. Sun Yat-sen, Mr. Ho Hao-ming, 46 or General Wu Pei Fu would be acceptable leaders but that these persons were dead. Mr. Sun added that he, personally, was willing to support the movement to make it a success but that he did not feel the leadership problem could be solved. General Marshall again asked Mr. Sun what he suggested. Mr. Sun said that he felt that persons from the business world, such as bankers or factory owners might be called on, and he suggested the following three individuals: Chien Sui Chih, Director of the Bank of Commerce; Chen Kuang Pu, Director of the Shanghai Bank; 47 and Lu Tsu Fu, Director of the Ming Sen Steamship Company. Mr. Sun said that these men were the equivalents of Ford and Rockefeller in the United States. General Marshall stated that the experience in the United States had been that this type of person did not do well in politics—that they were not equipped for the type of considerations necessary in political workings. As an example, he pointed out that Mr. Ford had run for the Senate several times but had been defeated. He also added that a banker, because of his financial background, usually could not dare to enter a political life. In the case of lawyers, however, they seem to have the facility of moving in. General Marshall told Mr. Sun that he was glad to have this suggestion but still wanted to know from Mr. Sun what other course might be taken. Mr. Sun replied that if the Kmt can give freedom, peace and liberty to the people of China, then Communism will die, and that if the Communists could give the same thing to the people the Kmt would die. 45 Marshal Wu had supported the republican government at Peking; he retired in 1926 and died in 1939. 46 Possibly Hu Han-min, a leading member of the Kuomintang until 1931. 47 Commercial and Savings Bank.",
